"","id","name","type","acronyms"
"83",83,"Hubert Burda Media Holding Kommanditgesellschaft","other","Hubert Burda Media Holding Kommanditgesellschaft"
"84",84,"Max-Planck-Gesellschaft zur Förderung der Wissenschaften (MPG)","other","MPG"
"85",85,"Commerzbank AG","other","Commerzbank AG"
"86",86,"Etihad Airways","other","Etihad Airways"
"87",87,"Centre for European Policy Studies (CEPS)","other","CEPS"
"88",88,"European Committee for Electrotechnical Standardization (CENELEC)","other","CENELEC"
"89",89,"Axel Springer SE (AS SE)","other","AS SE"
"90",90,"Bundesverband Neue Energiewirtschaft e.V. (bne)","other","bne"
"91",91,"Telefonica, S.A.","other","Telefonica, S.A."
"92",92,"Association of British Insurers (ABI)","other","ABI"
"93",93,"Nord Stream AG","other","Nord Stream AG"
"94",94,"Snam S.p.A. (Snam S.p.A.)","other","Snam S.p.A."
"95",95,"Statnett","other","Statnett"
"96",96,"Statoil ASA (STL/STO)","other","STL/STO"
"97",97,"Irish Co-operative Organisation Society Ltd. (ICOS)","other","ICOS"
"98",98,"TRABA LOGISTICS (TRABA)","other","TRABA"
"99",99,"ORTIS SPRL (ORTIS)","other","ORTIS"
"100",100,"Association of European Performers’ Organisations (AEPO-ARTIS)","other","AEPO-ARTIS"
"101",101,"Filmproducenten Nederland (FPN)","other","FPN"
"102",102,"ETH Zürich (ETH Zürich)","other","ETH Zürich"
"103",103,"European Peacebuilding Liaison Office (EPLO)","other","EPLO"
"104",104,"SUEZ","other","SUEZ"
"105",105,"Unilever","other","Unilever"
"106",106,"ENGIE (ENGIE)","other","ENGIE"
"107",107,"Managed Funds Association (MFA)","other","MFA"
"108",108,"Confederation of Danish Employers (DA)","other","DA"
"109",109,"General Electric Company (GE)","other","GE"
"110",110,"The Investment Association","other","The Investment Association"
"111",111,"UNIÓN ESPAÑOLA DE ENTIDADES ASEGURADORAS Y REASEGURADORAS (UNESPA)","other","UNESPA"
"112",112,"Iceye Oy (ICEYE)","other","ICEYE"
"113",113,"Food & Water Europe (FWE)","other","FWE"
"114",114,"Hume Brophy (HB)","other","HB"
"115",115,"FuelsEurope (FuelsEurope)","other","FuelsEurope"
"116",116,"abertis infraestructuras (ABE)","other","ABE"
"117",117,"BOUYGUES EUROPE (BY EUR)","other","BY EUR"
"118",118,"European Bureau of Library, Information and Documentation Associations (EBLIDA)","other","EBLIDA"
"119",119,"Confederation of Finnish Industries EK (EK)","other","EK"
"120",120,"Council of Gas Detection and Environmental Monitoring (CoGDEM)","other","CoGDEM"
"121",121,"Bill & Melinda Gates Foundation (BMGF)","other","BMGF"
"122",122,"South African Sugar Association (SASA)","other","SASA"
"123",123,"Finn Church Aid (FCA)","other","FCA"
"124",124,"Confederation of Danish Industry (DI)","other","DI"
"125",125,"Finnish Institute of International Affairs (FIIA)","other","FIIA"
"126",126,"Telecom Italia","other","Telecom Italia"
"127",127,"Conseil Permanent des Ecrivains (CPE)","other","CPE"
"128",128,"Society of Audiovisual Authors (SAA)","other","SAA"
"129",129,"Zentralverband des Deutschen Handwerks e.V. (ZDH)","other","ZDH"
"130",130,"Bundesverband deutscher Banken e.V. (Bankenverband)","other","Bankenverband"
"131",131,"Zurich Insurance Company Ltd","other","Zurich Insurance Company Ltd"
"132",132,"Association des Constructeurs Européens d'Automobiles (ACEA)","other","ACEA"
"133",133,"Finnish Innovation Fund Sitra","other","Finnish Innovation Fund Sitra"
"134",134,"HSBC Holdings PLC","other","HSBC Holdings PLC"
"135",135,"Shortsea Promotion Centre Finland (SPC Finland)","other","SPC Finland"
"136",136,"SOCIEDAD GESTORA DE ACTIVOS PROCEDENTES DE LA REESTRUCTURACIÓN BANCARIA (SAREB, S.A.)","other","SAREB, S.A."
"137",137,"Knauf Insulation","other","Knauf Insulation"
"138",138,"Association of European Public Postal Operators (PostEurop AISBL)","other","PostEurop AISBL"
"139",139,"IBM Corporation (IBM)","other","IBM"
"140",140,"COMITE EUROPEEN des FABRICANTS de SUCRE (CEFS)","other","CEFS"
"141",141,"Confederazione Generale dell'Industria Italiana (Confindustria)","other","Confindustria"
"142",142,"The European Steel Association (EUROFER)","other","EUROFER"
"143",143,"BUSINESSEUROPE","other","BUSINESSEUROPE"
"144",144,"European Heart Network (EHN)","other","EHN"
"145",145,"Stop TTIP","other","Stop TTIP"
"146",146,"Assocalzaturifici","other","Assocalzaturifici"
"147",147,"Federazione Imprese Siderurgiche Italiane (FEDERACCIAI)","other","FEDERACCIAI"
"148",148,"Coalition of European Organisations on Data Protection","other","Coalition of European Organisations on Data Protection"
"149",149,"AREVA SA","other","AREVA SA"
"150",150,"European Express Association (EEA)","other","EEA"
"151",151,"WILDLIFE CONSERVATION SOCIETY-EUROPE (WCSE)","other","WCSE"
"152",152,"ARCTURUS GROUP","other","ARCTURUS GROUP"
"153",153,"Koninklijke Federatie van Belgische Transporteurs en Logistieke Dienstverleners - Fédération Royale Belge des Transporteurs et des Prestataires de Services Logistiques (FEBETRA)","other","FEBETRA"
"154",154,"GNSS Usage Innovation and Development of Excellence (GUIDE-GNSS)","other","GUIDE-GNSS"
"155",155,"New Energy World Industry Grouping - European Industry Grouping for a Hydrogen and Fuel Cell Joint Undertaking (NEW-IG)","other","NEW-IG"
"156",156,"Save the Children International","other","Save the Children International"
"157",157,"European Crop Protection Association (ECPA)","other","ECPA"
"158",158,"IFPI Representing recording industry worldwide (I.F.P.I.)","other","I.F.P.I."
"159",159,"APCO Worldwide","other","APCO Worldwide"
"160",160,"European Cancer Patient Coalition (ECPC)","other","ECPC"
"161",161,"European Society of Lifestyle Medicine (ESLM)","other","ESLM"
"162",162,"Deutsche Telekom (DT)","other","DT"
"163",163,"GSMA Europe (GSMA Europe)","other","GSMA Europe"
"164",164,"EUROPEAN INDUSTRIAL FASTENERS INSTITUTE (EIFI)","other","EIFI"
"165",165,"Fair Trade Advocacy Office (FTAO)","other","FTAO"
"166",166,"Associazione Peacelink (PL)","other","PL"
"167",167,"International Institute for Environment and Development (IIED)","other","IIED"
"168",168,"International Rescue Committee Inc (IRC)","other","IRC"
"169",169,"Bertelsmann SE & Co. KGaA","other","Bertelsmann SE & Co. KGaA"
"170",170,"Bureau Européen des Unions de Consommateurs (BEUC)","other","BEUC"
"171",171,"European Newspaper Publishers' Association (ENPA)","other","ENPA"
"172",172,"Red Bridge Law SArL (Red Bridge)","other","Red Bridge"
"173",173,"Bundesverband der Deutschen Industrie e.V. (BDI)","other","BDI"
"174",174,"Bloomberg","other","Bloomberg"
"175",175,"National Association of Pension Funds (NAPF)","other","NAPF"
"176",176,"McKinsey & Company, Inc. (McKinsey)","other","McKinsey"
"177",177,"Union Européenne des Promoteurs-Constructeurs (UEPC)","other","UEPC"
"178",178,"New Under Ten Fishermen's Association (NUTFA)","other","NUTFA"
"179",179,"CECED (European Committee of Domestic Equipment Manufacturers) (CECED)","other","CECED"
"180",180,"Fertilizers Europe","other","Fertilizers Europe"
"181",181,"Bayer AG","other","Bayer AG"
"182",182,"European Pari Mutuel Association (EPMA)","other","EPMA"
"183",183,"CSIP","other","CSIP"
"184",184,"EuropaBio","other","EuropaBio"
"185",185,"Kellogg Company","other","Kellogg Company"
"186",186,"Pfizer Inc. (PFE)","other","PFE"
"187",187,"The Smoke Free Partnership (SFP)","other","SFP"
"188",188,"Covington & Burling LLP","other","Covington & Burling LLP"
"189",189,"Société des Auteurs, Compositeurs et Editeurs de Musique (SACEM)","other","SACEM"
"190",190,"BASF SE","other","BASF SE"
"191",191,"International Union for Conservation of Nature EU Representative Office (IUCN EURO)","other","IUCN EURO"
"192",192,"DIGITALEUROPE (DE)","other","DE"
"193",193,"Film- och TV-branschens Samarbetskommitté (FTVS)","other","FTVS"
"194",194,"Vandoren Consulting","other","Vandoren Consulting"
"195",195,"Médecins Sans Frontières (MSF)","other","MSF"
"196",196,"United Technologies Corporation (UTC)","other","UTC"
"197",197,"Eni S.p.A.","other","Eni S.p.A."
"198",198,"Nordic Securities Association (NSA)","other","NSA"
"199",199,"Barclays PLC","other","Barclays PLC"
"200",200,"KBC Group NV (KBC)","other","KBC"
"201",201,"European Community Shipowner's Associations (ECSA)","other","ECSA"
"202",202,"Chambre de Commerce et d'Industrie de Région des Pays de la Loire","other","Chambre de Commerce et d'Industrie de Région des Pays de la Loire"
"203",203,"German Renewable Energy Federation (BEE)","other","BEE"
"204",204,"Eurometaux","other","Eurometaux"
"205",205,"Polish Electricity Association (PKEE)","other","PKEE"
"206",206,"Tempus Energy Technology Ltd (Tempus Energy)","other","Tempus Energy"
"207",207,"Conservation International Europe (CI-E)","other","CI-E"
"208",208,"EUROPEAN TRADE UNION CONFEDERATION (ETUC)","other","ETUC"
"209",209,"European Banking Federation (EBF)","other","EBF"
"210",210,"Confederation of European Paper Industries (CEPI)","other","CEPI"
"211",211,"European Road Transport Research Advisory Council (ERTRAC)","other","ERTRAC"
"212",212,"The Brewers of Europe","other","The Brewers of Europe"
"213",213,"United European Gastroenterology","other","United European Gastroenterology"
"214",214,"UPS Europe SPRL/BVBA","other","UPS Europe SPRL/BVBA"
"215",215,"World Economic Forum","other","World Economic Forum"
"216",216,"Samsung Electronics Europe","other","Samsung Electronics Europe"
"217",217,"Almedalen Week","other","Almedalen Week"
"218",218,"LobbyControl","other","LobbyControl"
"219",219,"Twitter International Company (TIC)","other","TIC"
"220",220,"Cerame-Unie","other","Cerame-Unie"
"221",221,"Association of Social Democratic Municipalities (SODEM)","other","SODEM"
"222",222,"Atos SE","other","Atos SE"
"223",223,"Volkswagen Aktiengesellschaft (VOLKSWAGEN AG)","other","VOLKSWAGEN AG"
"224",224,"European Network of Transmission System Operators for Electricity (ENTSO-E)","other","ENTSO-E"
"225",225,"Prism Group SE (Prism Group)","other","Prism Group"
"226",226,"European Coalition to End Animal Experiments (ECEAE)","other","ECEAE"
"227",227,"European Network of Maritime Clusters (ENMC)","other","ENMC"
"228",228,"GREEK CHALLENGE (GC)","other","GC"
"229",229,"Cercle des Réseaux européens (CRE)","other","CRE"
"230",230,"Taxpayers Association of Europe (TAE)","other","TAE"
"231",231,"European Alcohol Policy Alliance (Eurocare)","other","Eurocare"
"232",232,"SANOFI","other","SANOFI"
"233",233,"Sanofi Pasteur","other","Sanofi Pasteur"
"234",234,"The National Advisory Council to the Thalidomide Trust (NAC)","other","NAC"
"235",235,"Svaz obchodu a cestovního ruchu ČR (SOCR ČR)","other","SOCR ČR"
"236",236,"Amnesty International European Institutions Office (AI EIO)","other","AI EIO"
"237",237,"European Publishers Council (EPC)","other","EPC"
"238",238,"FTTH Council Europe ASBL (FTTH Council Europe)","other","FTTH Council Europe"
"239",239,"Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte (GEMA)","other","GEMA"
"240",240,"QVC, Inc.","other","QVC, Inc."
"241",241,"The EMEA Satellite Operators' Assocation (ESOA)","other","ESOA"
"242",242,"Wirtschaftsrat der CDU e.V. (WR)","other","WR"
"243",243,"Lloyds Banking Group","other","Lloyds Banking Group"
"244",244,"RWE AG (RWE AG)","other","RWE AG"
"245",245,"cabinet DN consulting sprl (cabinet DN)","other","cabinet DN"
"246",246,"Danish Chamber of Commerce (Dansk Erhverv)","other","Dansk Erhverv"
"247",247,"Tesla Motors, Inc. (Tesla Motors)","other","Tesla Motors"
"248",248,"Polski Związek Hodowców i Producentów Trzody Chlewnej ""POLSUS"" (PZHiPTCh ""POLSUS"")","other","PZHiPTCh ""POLSUS"""
"249",249,"FERROVIE DELLO STATO ITALIANE S.p.A. (FSI)","other","FSI"
"250",250,"Deutscher Anwaltverein (DAV)","other","DAV"
"251",251,"European Insulation Manufacturers Association (EURIMA)","other","EURIMA"
"252",252,"SES S.A. (SES)","other","SES"
"253",253,"AXA Investment Managers (AXA IM)","other","AXA IM"
"254",254,"Lloyd's of London","other","Lloyd's of London"
"255",255,"London Metal Exchange (LME)","other","LME"
"256",256,"EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres)","other","eurochambres"
"257",257,"ABPaymentflows BV (ABPaymentflows)","other","ABPaymentflows"
"258",258,"Roundtable of European Energy Industrialists","other","Roundtable of European Energy Industrialists"
"259",259,"ASSOCIATION OF EUROPEAN AIRLINES (AEA)","other","AEA"
"260",260,"International Airlines Group (IAG)","other","IAG"
"261",261,"Microsoft Corporation","other","Microsoft Corporation"
"262",262,"British Broadcasting Corporation (BBC)","other","BBC"
"263",263,"LVMH Publica (LVMH Publica)","other","LVMH Publica"
"264",264,"Stichting Literaire Rechten Auteurs (Lira)","other","Lira"
"265",265,"European Academy of Allergy and Clinical Immunology (EAACI)","other","EAACI"
"266",266,"Citigroup Inc. (Citi)","other","Citi"
"267",267,"Confederation of Swedish Enterprise","other","Confederation of Swedish Enterprise"
"268",268,"Raha-automaattiyhdistys (RAY)","other","RAY"
"269",269,"Tetra Pak International","other","Tetra Pak International"
"270",270,"Policy Network and Communications Ltd (Policy Network)","other","Policy Network"
"271",271,"EKD-Büro Brüssel / EKD-Office Brussels (EKD)","other","EKD"
"272",272,"Eurasia Group Ltd","other","Eurasia Group Ltd"
"273",273,"Fraunhofer-Gesellschaft (FhG)","other","FhG"
"274",274,"Groupement Européen des Sociétés d'Auteurs et Compositeurs (GESAC)","other","GESAC"
"275",275,"Union Internationale des Cinémas (UNIC)","other","UNIC"
"276",276,"Deutscher Industrie- und Handelskammertag e.V. (DIHK)","other","DIHK"
"277",277,"FTI Consulting Belgium","other","FTI Consulting Belgium"
"278",278,"Global Counsel LLP (GC)","other","GC"
"279",279,"London Stock Exchange Group (LSEG)","other","LSEG"
"280",280,"electri-citi.mobi","other","electri-citi.mobi"
"281",281,"Afore Consulting","other","Afore Consulting"
"282",282,"Assogestioni - Italian Investment Management Association","other","Assogestioni - Italian Investment Management Association"
"283",283,"Federation of European Securities Exchanges (FESE)","other","FESE"
"284",284,"Akava ry","other","Akava ry"
"285",285,"Aviva Plc (Aviva)","other","Aviva"
"286",286,"Banco Santander, S.A.","other","Banco Santander, S.A."
"287",287,"Eli Lilly and Company (Lilly)","other","Lilly"
"288",288,"European Industrial Insulation Foundation (EiiF)","other","EiiF"
"289",289,"G & H Associates (Brussels) Ltd (GHB)","other","GHB"
"290",290,"LOGOS Public Affairs","other","LOGOS Public Affairs"
"291",291,"Nokia","other","Nokia"
"292",292,"The Federation of Finnish Technology Industries (FFTI)","other","FFTI"
"293",293,"Climate Action Network Europe (CAN Europe)","other","CAN Europe"
"294",294,"Nestlé S.A. (Nestlé (SIX: NESN))","other","SIX: NESN)"
"295",295,"Bruegel","other","Bruegel"
"296",296,"EPIA SolarPower Europe","other","EPIA SolarPower Europe"
"297",297,"EUROGAS aisbl (Eurogas)","other","Eurogas"
"298",298,"Unión de Empresas Siderúrgicas (UNESID)","other","UNESID"
"299",299,"Deutscher Bauernverband (DBV)","other","DBV"
"300",300,"Irish Creamery Milk Suppliers Association (ICMSA)","other","ICMSA"
"301",301,"EUN Partnership aisbl (EUN)","other","EUN"
"302",302,"CEMEX, S.A.B. de C.V. (CEMEX)","other","CEMEX"
"303",303,"Google","other","Google"
"304",304,"Alcatel-Lucent (ALU)","other","ALU"
"305",305,"ChinaEU","other","ChinaEU"
"306",306,"ISC Intelligence in Science (ISC)","other","ISC"
"307",307,"Center for Strategic and International Studies (CSIS)","other","CSIS"
"308",308,"Trans-Atlantic Business Council (TABC)","other","TABC"
"309",309,"Representation of the Ukrainian Orthodox Church Kyiv Patriarchate to the European Institutions (UOC KP)","other","UOC KP"
"310",310,"European Association of Internet Services Providers (EuroISPA)","other","EuroISPA"
"311",311,"Grant Thornton International Ltd (GTIL)","other","GTIL"
"312",312,"BT Group plc (BT)","other","BT"
"313",313,"Banco Popular Español (BPE)","other","BPE"
"314",314,"Nordea Bank AB (publ) (Nordea)","other","Nordea"
"315",315,"Standard Bank Group (SBG)","other","SBG"
"316",316,"European Mortgage Federation - European Covered Bond Council (EMF-ECBC)","other","EMF-ECBC"
"317",317,"Armateurs de France","other","Armateurs de France"
"318",318,"Comité national des pêches maritimes et des élevages marins (CNPMEM)","other","CNPMEM"
"319",319,"European Business Summit Network (EBS)","other","EBS"
"320",320,"IHC Hytech BV","other","IHC Hytech BV"
"321",321,"INFOMER","other","INFOMER"
"322",322,"Syndicat des énergies renouvelables (SER)","other","SER"
"323",323,"Technip (Technip)","other","Technip"
"324",324,"Wärtsilä Corporation","other","Wärtsilä Corporation"
"325",325,"Le Cercle de l'Industrie","other","Le Cercle de l'Industrie"
"326",326,"Green 10","other","Green 10"
"327",327,"OMV Aktiengesellschaft (OMV)","other","OMV"
"328",328,"Conseil des Communes et Régions d'Europe (CCRE)","other","CCRE"
"329",329,"Plan International España","other","Plan International España"
"330",330,"The European House - Ambrosetti (TEH-A)","other","TEH-A"
"331",331,"Prime Collateralised Securities (PCS) UK Limited (PCS)","other","PCS"
"332",332,"Comitato Olimpico Nazionale Italiano (CONI)","other","CONI"
"333",333,"European Jewish Association (EJA)","other","EJA"
"334",334,"European Transport Workers' Federation (ETF)","other","ETF"
"335",335,"ABTA - The Travel Association (ABTA)","other","ABTA"
"336",336,"Conseil des Notariats de l'Union Européenne (CNUE)","other","CNUE"
"337",337,"European Judicial Training Network (EJTN)","other","EJTN"
"338",338,"The European Federation of Financial Services Users (EuroFinuse)","other","EuroFinuse"
"339",339,"AT&T, Inc. (AT&T)","other","AT&T"
"340",340,"Ericsson","other","Ericsson"
"341",341,"European Magazine Media Association (EMMA)","other","EMMA"
"342",342,"Japan Automobile Manufacturers Association, Inc. European Office (JAMA European Office)","other","JAMA European Office"
"343",343,"SALESAS TRES CENTRO DE ESTUDIOS","other","SALESAS TRES CENTRO DE ESTUDIOS"
"344",344,"CSR Europe, The Business Network for Corporate Social Responsibility (CSR Europe)","other","CSR Europe"
"345",345,"Deutsche Post DHL Group (DPDHL)","other","DPDHL"
"346",346,"FAKRO Sp. z o.o.","other","FAKRO Sp. z o.o."
"347",347,"Confederation of Businessmen and Industrialists of Turkiye (TUSKON)","other","TUSKON"
"348",348,"European Environmental Bureau (EEB)","other","EEB"
"349",349,"ING Group","other","ING Group"
"350",350,"European Digital Media Association (EDiMA)","other","EDiMA"
"351",351,"Wirtschaftrat Recht Bremer & Heller","other","Wirtschaftrat Recht Bremer & Heller"
"352",352,"European Climate Foundation (ECF)","other","ECF"
"353",353,"Greenpeace European Unit","other","Greenpeace European Unit"
"354",354,"Netflix International","other","Netflix International"
"355",355,"Insurance Europe (Insurance Europe)","other","Insurance Europe"
"356",356,"SURFRIDER FOUNDATION EUROPE (SFE)","other","SFE"
"357",357,"European Deafblind Network (EDbN)","other","EDbN"
"358",358,"Österreichischer Gewerkschaftsbund (ÖGB)","other","ÖGB"
"359",359,"CONCORD Europe","other","CONCORD Europe"
"360",360,"European Initiative for Sustainable Development in Agriculture (EISA)","other","EISA"
"361",361,"Irish Farmers' Association (IFA)","other","IFA"
"362",362,"UNIÓN DE PEQUEÑOS AGRICULTORES (UPA)","other","UPA"
"363",363,"Apple Inc.","other","Apple Inc."
"364",364,"L'Oréal","other","L'Oréal"
"365",365,"European Festivals Association (EFA)","other","EFA"
"366",366,"European Olympic Committees EU Office (EOC EU Office)","other","EOC EU Office"
"367",367,"European Sports Security Association (ESSA)","other","ESSA"
"368",368,"Federal Union of European Nationalities (FUEN)","other","FUEN"
"369",369,"Latvijas Darba devēju konfederācija (LDDK)","other","LDDK"
"370",370,"Dröge & van Drimmelen (Dr2)","other","Dr2"
"371",371,"European Barge Union (EBU)","other","EBU"
"372",372,"FIPRA International Limited (FIPRA)","other","FIPRA"
"373",373,"Société Nationale des Chemins de Fer Français (SNCF)","other","SNCF"
"374",374,"Compassion in World Farming","other","Compassion in World Farming"
"375",375,"Lumos Foundation (Lumos)","other","Lumos"
"376",376,"Iliad","other","Iliad"
"377",377,"Sky plc (SKY)","other","SKY"
"378",378,"BRAINS FOR BRAIN FOUNDATION (B4B)","other","B4B"
"379",379,"Europeana Foundation (Europeana)","other","Europeana"
"380",380,"The European Azerbaijan Society - Brussels office (TEAS)","other","TEAS"
"381",381,"ΙΔΡΥΜΑ ΩΝΑΣΗ","other","ΙΔΡΥΜΑ ΩΝΑΣΗ"
"382",382,"DIE FAMILIENUNTERNEMER - ASU (ASU)","other","ASU"
"383",383,"Human Rights Watch (HRW)","other","HRW"
"384",384,"Cellnex Telecom S.A. (CLLX)","other","CLLX"
"385",385,"HOTREC, Hotels, Restaurants & Cafés in Europe (HOTREC)","other","HOTREC"
"386",386,"RELX Group","other","RELX Group"
"387",387,"Svensk Försäkring","other","Svensk Försäkring"
"388",388,"Pensioenfederatie (Federation of the Dutch Pension Funds) (PF)","other","PF"
"389",389,"Bpifrance (Bpifrance)","other","Bpifrance"
"390",390,"T&L Sugars Limited (Tate & Lyle Sugars)","other","Tate & Lyle Sugars"
"391",391,"AMC Strategy","other","AMC Strategy"
"392",392,"Center for Politiske Studier (CEPOS)","other","CEPOS"
"393",393,"Renewables Grid Initiative e.V. (RGI)","other","RGI"
"394",394,"Verband Deutscher Maschinen- und Anlagenbau e.V. (VDMA)","other","VDMA"
"395",395,"AVSI Foundation","other","AVSI Foundation"
"396",396,"Société Générale (SG)","other","SG"
"397",397,"European Chess Union (ECU)","other","ECU"
"398",398,"Federation of the European Sporting Goods Industry (FESI)","other","FESI"
"399",399,"Transport and Environment (European Federation for Transport and Environment) (T&E)","other","T&E"
"400",400,"Meeting with Group of Young Gasteiners","other","Meeting with Group of Young Gasteiners"
"401",401,"Mental Health Delegation","other","Mental Health Delegation"
"402",402,"Weber Shandwick","other","Weber Shandwick"
"403",403,"Europa Distribution","other","Europa Distribution"
"404",404,"Lenovo","other","Lenovo"
"405",405,"Wienerberger AG","other","Wienerberger AG"
"406",406,"Falck","other","Falck"
"407",407,"EUROALLIAGES","other","EUROALLIAGES"
"408",408,"Bundesverband Deutscher Inkasso-Unternehmen e.V. (BDIU)","other","BDIU"
"409",409,"NXP B.V.","other","NXP B.V."
"410",410,"European Public Real Estate Association (EPRA)","other","EPRA"
"411",411,"European Union Chamber of Commerce in China (EUCCC)","other","EUCCC"
"412",412,"Open Europe","other","Open Europe"
"413",413,"Trans Adriatic Pipeline (TAP)","other","TAP"
"414",414,"European Geothermal Energy Council (EGEC)","other","EGEC"
"415",415,"International Association of Classification Societies Ltd. (IACS)","other","IACS"
"416",416,"Freie Universität Berlin (FUB)","other","FUB"
