"Commissioner","MemberName","Date","Location","Entity","Subject"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","14/10/2015","Brussels","European Farmers                                                         (COPA)                                                   |                                                                                 European agri-cooperatives                                                         (COGECA)                                                   |","New breeding techniques, GMO"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|
									            	
						            	Arunas Ribokas
						            	|","13/10/2015","Brussels","Covington & Burling LLP                                                   |                                                                                 MSD (Europe), Inc. (Merck Sharp & Dohme)                                                         (MSD)                                                   |","AMR"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","13/10/2015","Brussels","European Federation of Road Traffic Victims                                                         (FEVR)                                                   |","Health angle (prevention, effect) of traffic accidents"
"Vytenis Andriukaitis","Marco Valletta
						            	|","09/10/2015","Brussels","HDIMAGE                                                   |                                                                                 Knauf Industries Gestion                                                   |","Food waste and packaging"
"Vytenis Andriukaitis","Marco Valletta
						            	|","06/10/2015","Brussels","Animal Skincare Products Europe                                                         (ASPE)                                                   |","Regulation regarding animal skincare products"
"Vytenis Andriukaitis","Marco Valletta
						            	|","05/10/2015","Brussels","Compassion in World Farming                                                   |","Animal welfare"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","30/09/2015","Brussels, Belgium","Avisa Partners                                                   |","International trade"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","30/09/2015","Brussels","GlaxoSmithKline                                                         (GSK)                                                   |","Vaccination"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","29/09/2015","Gent","Fédération Européenne des Fabricants d'Aliments Composés                                                         (FEFAC)                                                   |","Feed safety management"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","28/09/2015","Brussels","Greenpeace European Unit                                                   |                                                                                 International Federation of Organic Agriculture Movements EU Regional Group                                                         (IFOAM EU Group)                                                   |                                                                                 Testbiotech                                                   |                                                                                 EcoNexus                                                   |                                                                                 European Coordination Via Campesina                                                         (ECVC)                                                   |","New breeding techniques, GMO"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","28/09/2015","Brussels","European Heart Network                                                         (EHN)                                                   |                                                                                 European Society of Cardiology                                                         (ESC)                                                   |","World Heart Day Campaign ‘Environment & the Heart’"
"Vytenis Andriukaitis","Marco Valletta
						            	|
									            	
						            	Nathalie Chaze
						            	|","28/09/2015","Brussels","FoodDrinkEurope                                                         (FoodDrinkEurope)                                                   |","Nutrition and Health, Food Safety"
"Vytenis Andriukaitis","Marco Valletta
						            	|","25/09/2015","Brussels","Federazione Nazionale dell'Industria Chimica italiana                                                         (FEDERCHIMICA)                                                   |","Commissioner's priorities, medicated feed"
"Vytenis Andriukaitis","Marco Valletta
						            	|","23/09/2015","Brussels","European Live Poultry and Hatching Egg Association                                                         (ELPHA vzw)                                                   |","ELPHA European live poultry policy paper LAVA"
"Vytenis Andriukaitis","Annika Nowak
						            	|","21/09/2015","Brussels","European Alliance For Vision Research and Ophthalmology                                                         (EU-EYE)                                                   |","EU research funding, on reducing the impact of eye disease"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","16/09/2015","Brussels","EPPA SA                                                   |","Health, competitiveness and better regulation"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","14/09/2015","Brussels","The Global Round Table                                                         (GRT)                                                   |","Public health"
"Vytenis Andriukaitis","Marco Valletta
						            	|","11/09/2015","Brussels","European Meat Network                                                         (EMN)                                                   |","Russia and Labelling"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","11/09/2015","Brussels, Belgium","Federazione Italiana dell'Industria Alimentare                                                         (Federalimentare)                                                   |","Food legislation"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","09/09/2015","Brussels","Atomium Culture                                                         (AC)                                                   |","REIsearch project"
"Vytenis Andriukaitis","Marco Valletta
						            	|","07/09/2015","Brussels","Centre de liaison des industries transformatrices de viande de l'UE                                                         (CLITRAVI)                                                   |","Russia, Pig Castration, Official Control"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","04/09/2015","Brussels, Belgium","Avisa Partners                                                   |","Fight against tobacco smuggling"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","03/09/2015","Brussels","Handelsverband Deutschland                                                         (HDE)                                                   |","Food information, labelling, nutrition"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","03/09/2015","Brussels, Belgium","Freie Universität Berlin                                                         (FUB)                                                   |","General usage of media and perception in the Cabinet"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","01/09/2015","Elsenborn","ORTIS SPRL                                                         (ORTIS)                                                   |","Botanicals"
"Vytenis Andriukaitis","Marco Valletta
						            	|","13/08/2015","Brussels","Fédération Européenne des Fabricants d'Aliments Composés                                                         (FEFAC)                                                   |","GMO, Feed Control: Safety and Hygiene, Minimisation of Waste"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","28/07/2015","Brussels, Belgium","Dairy UK                                                   |","UK labelling scheme"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","16/07/2015","Brussels, Belgium","Association of the European Self-Medication Industry                                                         (AESGP)                                                   |","Botanicals"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","16/07/2015","Brussels","Food Supplements Europe                                                         (FSE)                                                   |","Botanicals"
"Vytenis Andriukaitis","Annika Nowak
						            	|","15/07/2015","Brussels","Conseil National de l'Ordre des Sages-femmes                                                         (CNOSF)                                                   |","Patient safety"
"Vytenis Andriukaitis","Annika Nowak
						            	|","15/07/2015","Brussels","Ferrer Internacional S.A.                                                         (Ferrer)                                                   |","Prevention of secondary cardiovascular incidents"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","15/07/2015","Brussels","BREIZ EUROPE                                                   |","Russian embargo, European Health Certificate"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","14/07/2015","Brussels","New Breeding Techniques Platform                                                         (NBT Platform)                                                   |","NBTs"
"Vytenis Andriukaitis","Annika Nowak
						            	|","14/07/2015","Brussels","Platform for Better Oral Health in Europe                                                   |","Patient safety and quality of care; Antimicrobial resistance"
"Vytenis Andriukaitis","Annika Nowak
						            	|","09/07/2015","Brussels","Deutsche Sozialversicherung Arbeitsgemeinschaft Europa                                                         (DSVAE)                                                   |","Health technology assesment and access of inovative medicines"
"Vytenis Andriukaitis","Annika Nowak
						            	|","09/07/2015","Brussels","European Coalition on Homeopathic and Anthroposophic Medicinal Products                                                         (ECHAMP)                                                   |","Regulatory Framework for Homeopathic/anthroposophic medicines"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","06/07/2015","Brussels","Bunge Ltd                                                         (BEMEA)                                                   |","Food safety and contaminants, health and nutrition."
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","02/07/2015","Brussels","European Alcohol Policy Alliance                                                         (Eurocare)                                                   |","alcohol policy"
"Vytenis Andriukaitis","Annika Nowak
						            	|","02/07/2015","Brussels","The National Advisory Council to the Thalidomide Trust                                                         (NAC)                                                   |","Campaign for additional funding for Thalidomide survivors"
"Vytenis Andriukaitis","Annika Nowak
						            	|","02/07/2015","Brussels","Sanofi Pasteur                                                   |","Vaccination"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","02/07/2015","Brussels","SANOFI                                                   |","vaccinations"
"Vytenis Andriukaitis","Marco Valletta
						            	|","29/06/2015","Brussels","Irish Co-operative Organisation Society Ltd.                                                         (ICOS)                                                   |","Medicated Feed and Veterinary Medicines"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","23/06/2015","Brussels","The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association                                                         (ILGA-Europe)                                                   |","discrimination in healthcare"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","23/06/2015","Brussels","EuropaBio                                                   |","Participation of Commissioner at event"
"Vytenis Andriukaitis","Marco Valletta
						            	|","22/06/2015","Brussels","Kaufland                                                   |","Animal Welfare, Food Waste"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","18/06/2015","Brussels","Greek Minister of Health, Mr Panagiotis Kouroumplis                                        |","New Greek project on Healthcare workerd. Health aspects of migration."
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","18/06/2015","Brussels, Belgium","UK Pesticides Campaign                                                         (UKPC)                                                   |","Usage of pesticides"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","17/06/2015","Brussels","Green 10                                                   |","EDCs & public health protectio;  GMOs; Glyphosate;Sustainable food"
"Vytenis Andriukaitis","Marco Valletta
						            	|
									            	
						            	Nathalie Chaze
						            	|","17/06/2015","Brussels","Vandoren Consulting                                                   |","Palm Oil (Meeting with Paul Vandoren)"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","16/06/2015","Brussels","Quintiles Benefit France                                                   |","Action by Quintiles carrying and Clinical Tyrials Registres for Pharmaceutical Companies."
"Vytenis Andriukaitis","Annika Nowak
						            	|","15/06/2015","Brussels","Atos SE                                                   |","Tracing and tracking system"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","12/06/2015","Brussels","Avaaz                                                   |","Avaaz campaign on glyphosate: - IARC report, monograph, wording of the mandate for EFSA; - Role of corporate-funded science in public health regulation;- Next steps in glyphosate review process;- Further engagement with Avaaz members  (Meeting with Bert Wander)"
"Vytenis Andriukaitis","Marco Valletta
						            	|","11/06/2015","Brussels","Rubinum SA                                                   |","Toyocerin"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","09/06/2015","Brussels","Centre de liaison des industries transformatrices de viande de l'UE                                                         (CLITRAVI)                                                   |","Country of origin labelling for meat as ingredient"
"Vytenis Andriukaitis","Marco Valletta
						            	|","09/06/2015","Brussels","Dogs Trust                                                   |","New Report: the welfare of dogs and cats involved in commercial practices across the EU"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","05/06/2015","Brussels","The Global Fund to Fight AIDS, Tuberculosis and Malaria                                        |","Efforts to fight HIV and TB in Eastern Europe and Central Asia"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","04/06/2015","Brussels","Royal Society for the Protection of Birds                                                         (RSPB)                                                   |","Neonicotinoids"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","03/06/2015","European Parliament - Brussels","Mental Health Delegation                                        |","Mental Health and Wellbeing, Action in Ireland and EU supportive action."
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","03/06/2015","Brussels","Meeting with Group of Young Gasteiners                                       |","Meeting with Group of Young Gasteiners"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","03/06/2015","Brussels","Weber Shandwick                                                   |","EU action on rare diseases, including ERNS and and possibilities under the Cross-border Helthcare Directive."
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","02/06/2015","Brussels","United European Gastroenterology                                                   |","Co-operation on  the management of chronic diseases, the burden of Gastroenterologic diseases. EU and UEG action."
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","02/06/2015","Brussels","The Brewers of Europe                                                   |","Consumer knowledge, ingredients listing and nutrition information"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","01/06/2015","Brussels","Swiss Federal Councillor and Head of the Federal Department of Home Affairs, Mr Alain Berset                                        |","Current health challenges in the EU and Switzerland. State of play of the negotiations regarding cooperation agreements in the field of public health and in the field of Veterinary and Food Safety."
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|
									            	
						            	Arunas Ribokas
						            	|","29/05/2015","Brussels, Belgium","Association de l'Aviculture, de l'Industrie et du Commerce de Volailles dans les Pays de l'Union Europeenne asbl                                                         (a.v.e.c.)                                                   |","Food regulation"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","29/05/2015","Brussels, Belgium","International Federation for Animal Health-Europe AISBL                                                         (IFAH-Europe)                                                   |","Preparation for the conference speech on the 11th June 2015"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","28/05/2015","Brussels, Belgium","European Federation of Pharmaceutical Industries and Associations                                                         (EFPIA)                                                   |","Developments of pharmaceutical industry"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","27/05/2015","Brussels, Belgium","Google                                                   |","Telemedicine"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","27/05/2015","Brussels","World Federation of Advertisers                                                         (WFA)                                                   |","Selg regulation in marketing of food as a means to promote healthy eating and fight obesity"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","26/05/2015","Brussels","European Brain Council                                                         (EBC)                                                   |","Action by EBC and by EU on brain health and mental health in general, possibilities for co-operation"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","22/05/2015","Brussels","BLL German Federation for Food Law and Food Science                                       |","PR action around obesity day"
"Vytenis Andriukaitis","Marco Valletta
						            	|","19/05/2015","Brussels","Compassion in World Farming                                                   |","Animal Welfare"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","18/05/2015","Brussels","European Healthy Lifestyle Alliance                                                         (EHLA)                                                   |","Cooperation to fight obesity, EU action, possibilties for further cooperation"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","13/05/2015","Brussels, Belgium","Associazione Peacelink                                                         (PL)                                                   |","Xyllela"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","12/05/2015","Brussels, Belgium","US Dairy Export Council                                                         (USDEC)                                                   |","Priorities and expectations of the US dairy sector in the ongoing negotiations on a Transatlantic Trade and Investment Partnership Agreement"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|
									            	
						            	Arunas Vinciunas
						            	|","07/05/2015","Brussels, Belgium","The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association                                                         (ILGA-Europe)                                                   |","LGBTI health issues"
"Vytenis Andriukaitis","Marco Valletta
						            	|","06/05/2015","Brussels","FTI Consulting Belgium                                                   |","Priorities of Commissioner Andriukaitis"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","06/05/2015","Brussels, Belgium","EPPA SA                                                   |","Endocrine disruptors and the definition of the concept of Negligible exposure within the regulation of Plant Protection products"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|
									            	
						            	Paula Duarte Gaspar
						            	|","05/05/2015","Brussels, Belgium","European Observatory on Health Systems and Policies                                       |","Health systems' performance in the EU"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|
									            	
						            	Arunas Vinciunas
						            	|","04/05/2015","Brussels, Belgium","European Farmers                                                         (COPA)                                                   |                                                                                 European agri-cooperatives                                                         (COGECA)                                                   |","Plant protection materials"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","04/05/2015","Brussels, Belgium","Alzheimer Europe                                                         (AE)                                                   |","Commission and stakeholders' action on Dementia and Alzheimer and cooperation in this area"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|
									            	
						            	Arunas Vinciunas
						            	|","30/04/2015","Brussels, Belgium","Cooperativas Agro-alimentarias de España                                                   |","Plant diseases"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","28/04/2015","Brussels, Belgium","Associazione Peacelink                                                         (PL)                                                   |","Xyllela"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","24/04/2015","Brussels","BREIZ EUROPE                                                   |","Russian embargo on export of pigmeat"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","23/04/2015","Brussels","European Chemical Industry Council                                                         (Cefic)                                                   |","Overall situation of chemical industry"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","23/04/2015","Brussels, Belgium","Cámara Oficial de Comercio, Industria, Servicios y Navegación de España                                                         (Cámara de España)                                                   |","Speech: Priorities of the Commissioner ANDRIUKAITIS in health and food safety sectors"
"Vytenis Andriukaitis","Marco Valletta
						            	|","16/04/2015","Brussels","McDonald's Europe                                                         (McDonald's Europe)                                                   |","Food Waste and Animal Welfare"
"Vytenis Andriukaitis","Annika Nowak
						            	|","16/04/2015","Brussels","Samsung Electronics Europe                                                   |","e-Health"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","14/04/2015","Brussels, Belgium","Associazione Peacelink                                                         (PL)                                                   |","Xyllela"
"Vytenis Andriukaitis","Annika Nowak
						            	|","13/04/2015","Brussels","European Confederation of Pharmaceutical Entrepreneurs                                                         (EUCOPE)                                                   |","Off-label use of medicines"
"Vytenis Andriukaitis","Marco Valletta
						            	|","08/04/2015","Brussels","Fur Europe                                                         (Fur Europe)                                                   |","Animal Welfare"
"Vytenis Andriukaitis","Marco Valletta
						            	|","08/04/2015","Brussels","International Wool Textile Organisation                                                         (IWTO)                                                   |","Animal Welfare"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","24/03/2015","Brussels","Médecins Sans Frontières                                                         (MSF)                                                   |","EU ACTION ON TB; POSSIBILITIES TO RAISE PROFILE OF WORK ON TB"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","24/03/2015","Brussels, Belgium","Associazione Peacelink                                                         (PL)                                                   |","Xyllela"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","19/03/2015","Brussels","European Public Health Alliance                                                         (EPHA)                                                   |","Chronic Disease - EU Action"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","19/03/2015","Brussels","Greenpeace European Unit                                                   |","GMO & PESTICIDES"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","18/03/2015","Brussels","PepsiCo Europe                                                         (PepsiCo)                                                   |                                                                                 Union of European Beverages Association                                                         (UNESDA)                                                   |","Nutrition; UNESDA Contribution to the EU platform for action on diet, food reformulation"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","17/03/2015","Brussels","PlasticsEurope                                                   |","BISPHENOL A"
"Vytenis Andriukaitis","Annika Nowak
						            	|","06/03/2015","Brussels","European Association of Euro-Pharmaceutical Companies                                                         (EAEPC)                                                   |","Falsified medicines"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","06/03/2015","Brussels","Association of European Cancer Leagues                                                         (ECL)                                                   |","EU ACTION ON CANCER INCLUDING INO ON ON-GOING JOINNT ACTIONS AND THE CANCER CODE, Possibilites of further co-operation & Tobacco"
"Vytenis Andriukaitis","Marco Valletta
						            	|","04/03/2015","Brussels","ITALIA NOSTRA ONLUS - SEZIONE VITERBO                                                         (ONLUS)                                                   |","The role of the EU in the area of food safety"
"Vytenis Andriukaitis","Marco Valletta
						            	|","03/03/2015	         
										
						
					
					
				    	
						|(Cancelled)","Brussels","Eli Lilly and Company                                                         (Lilly)                                                   |","Animal Health and Welfare, Food Security"
"Vytenis Andriukaitis","Marco Valletta
						            	|","03/03/2015","Brussels","Eli Lilly and Company                                                         (Lilly)                                                   |","Animal Health and Welfare, Food Security"
"Vytenis Andriukaitis","Marco Valletta
						            	|","03/03/2015","Brussels","Compassion in World Farming                                                   |","Welfare Petition"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","02/03/2015","Brussels","European Crop Protection Association                                                         (ECPA)                                                   |","EU POLICY ON PESTICIDES"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","02/03/2015","Brussels","EuropaBio                                                   |","Healthcare (personalised medicine which will be a priority of the LU Presidency, Biosimilars, Advanced Therapy Medicinal Products (ATMPs), Health Technology Assessment (HTA) and GMO'S"
"Vytenis Andriukaitis","Marco Valletta
						            	|","02/03/2015","Brussels","Kellogg Company                                                   |","Waste commitment (together with CAB Vella)"
"Vytenis Andriukaitis","Annika Nowak
						            	|","02/03/2015	         
										
						
					
					
				    	
						|(Cancelled)","Brussels","The Smoke Free Partnership                                                         (SFP)                                                   |","Smoke free policy"
"Vytenis Andriukaitis","Annika Nowak
						            	|","02/03/2015","Brussels","The Smoke Free Partnership                                                         (SFP)                                                   |","Smoke free policy"
"Vytenis Andriukaitis","Annika Nowak
						            	|","02/03/2015","Brussels","CSIP                                       |                                                                                                     NABP                                       |                                                                                 The Alliance for Safe Online Pharmacy in the EU Community Interest Company                                                         (ASOP EU)                                                   |","Implementation of common logo for online pharmacies"
"Vytenis Andriukaitis","Annika Nowak
						            	|","02/03/2015","Brussels","Pfizer Inc.                                                         (PFE)                                                   |","Access to innovative medicine"
"Vytenis Andriukaitis","Annika Nowak
						            	|","26/02/2015","Brussels","Baxter Healthcare SA                                                         (Baxter)                                                   |","Blood directive"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","26/02/2015","PARIS","Union Fédérale des Consommateurs - Que Choisir                                                         (UFC - Que Choisir)                                                   |","1. Report on the mandatory indication of origin for meat as an ingredient 2. Report on the mandatory indication of origin for unprocessed foods, single ingredient products and ingredient that represent more than 50% of a food"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","26/02/2015","Brussels","International Forum Gastein                                                         (IFG)                                                   |","THEMES OF GAESTEIN FORUM FOR 2016 AND POSSIBLE PARTICIPATION OF COMMISSIONER AT THE FORUM IN OCTOBER"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","26/02/2015","Brussels","International Forum Gastein                                                         (IFG)                                                   |","THEMES OF GASTEIN FORUM FOR 2016, AND POSSIBLE PARTICIPATIION OF COMMISSIONER AT THE NEXT GASTEIN FORUM IN OCTOBER 2015"
"Vytenis Andriukaitis","Marco Valletta
						            	|","25/02/2015","Brussels","Lantbrukarnas Riksförbund                                                         (LRF)                                                   |","Animal Health, Antibiotic Resistance"
"Vytenis Andriukaitis","Marco Valletta
						            	|","25/02/2015","Brussels","Compassion in World Farming                                                   |","Welfare at Point of Slaughter"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","24/02/2015","Brussels","EUROPEAN ORGANISATION FOR RARE DISEASES                                                         (EURORDIS)                                                   |","Action on rare diseases, Bridging Inequalities & Giving Patients with Rare Diseases same type of access to treatment and care"
"Vytenis Andriukaitis","Annika Nowak
						            	|","24/02/2015","Brussels","IRBM Science Park                                                         (IRBM)                                                   |","Research in pharmaceuticals"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","23/02/2015","Brussels","FoodDrinkEurope                                                         (FoodDrinkEurope)                                                   |","Implementation of the Regulation (EU) 1169/2011 (Food Information to Consumers).- Labelling & Food Safety and Fraud"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","19/02/2015","Brussels, Belgium","European Federation of Neurological Associations                                                         (EFNA)                                                   |                                                                                 PAIN ALLIANCE EUROPE                                                         (PAE)                                                   |","Range of brain related deseases"
"Vytenis Andriukaitis","Marco Valletta
						            	|","12/02/2015","Brussels","Slow Food                                                         (NA)                                                   |","Milan Expo"
"Vytenis Andriukaitis","Annika Nowak
						            	|","11/02/2015","Brussels","European Steering Group on Sustainable Healthcare                                                         (ESG)                                                   |","Preparation for the conference on the 19/03/2015"
"Vytenis Andriukaitis","Marco Valletta
						            	|","11/02/2015","Brussels","PRAGMATA SRL                                                         (PRAGMATA INSTITUTE)                                                   |","Milan Expo"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","11/02/2015","Brussels","The EU Vegetable Oil and Proteinmeal Industry                                                         (FEDIOL)                                                   |","Trans Fatty Acids"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","10/02/2015","Brussels","European Confederation of Independent Trade Unions                                                         (CESI)                                                   |","Working conditions for healthcare workers who may be exposed to Ebola"
"Vytenis Andriukaitis","Annika Nowak
						            	|","10/02/2015","Brussels","Dassault Systèmes                                                   |","Biointelligence research"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","06/02/2015","Brussels, Belgium","Lietuvos Respublikos žemės ūkio rūmai                                                         (LR ŽŪR)                                                   |","African swine fever"
"Vytenis Andriukaitis","Annika Nowak
						            	|","06/02/2015","Brussels","Hill & Knowlton International Belgium                                                         (H+K)                                                   |","Immuno-oncology treatments"
"Vytenis Andriukaitis","Annika Nowak
						            	|","06/02/2015","Brussels","Eli Lilly and Company                                                         (Lilly)                                                   |","Access to innovative medicine"
"Vytenis Andriukaitis","Annika Nowak
						            	|","04/02/2015","Brussels","CELGENE                                                   |","Access to innovative medicine"
"Vytenis Andriukaitis","Annika Nowak
						            	|","04/02/2015","Brussels","Bundesverband der Pharmazeutischen Industrie e.V.                                                         (BPI e.V.)                                                   |","Access to innovative medicine"
"Vytenis Andriukaitis","Annika Nowak
						            	|","04/02/2015","Brussels","European Board and College of Obstetrics and Gynaecology                                       |","Standards of care for women's health"
"Vytenis Andriukaitis","Annika Nowak
						            	|","04/02/2015","Brussels","European Generic medicines Association                                                         (EGA)                                                   |","EGA manifesto"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","02/02/2015","Brussels","European Society of Lifestyle Medicine                                                         (ESLM)                                                   |","Prevention and Promotion, Emerging role of Lifestyle Medicine"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","02/02/2015","Brussels","European Cancer Patient Coalition                                                         (ECPC)                                                   |","EU ACTION ON CANCER, GUIDELINES, JOINT ACTIONS, PRICING OF CANCER DRUGS AND INEQUALITIES, CROSS -BORDER HEALTH CARE DIRECTIVE"
