,Name,Category of registration,Revenue,Nb employees,GUO Name,GUO Revenue,GUO Nb employees,BvD ID,Degree
1002,Assemblée des Régions d'Europe,Associations and networks of public authorities,,,ASSEMBLEE DES REGIONS D'EUROPE,,,FR333466068,12.0
1003,Hanon Systems Deutschland GmbH,,174762.582151805,381.0,"HAHN & CO. AUTO HOLDINGS CO.,LTD",77.0,,DE2012354460,2.0
1004,Centre National de la Recherche Scientifique,Think tanks and research institutions,184543.0,,GOVERNMENT OF FRANCE,,,FR180089013,1.0
1005,Siemens AG,Companies and groups,72157650.5929828,311000.0,SIEMENS AG,72158.0,311000.0,DE2010000581,22.0
1006,FirstRand,,7094662.39392757,,FIRSTRAND LIMITED,7095.0,,ZA196601075306,1.0
1007,TenneT Holding B.V.,Companies and groups,6256484.09843445,2611.0,THE STATE OF THE NETHERLANDS,,,NL09083317,8.0
1008,Open Internet Project,Trade and business associations,,, ,,,FR803615830,1.0
1009,Caterpillar Distribution Services Europe bv,Companies and groups,174918.028344429,811.0,CATERPILLAR INC,59427.0,109100.0,BE0466233567,1.0
1010,NEW ECONOMY INTERNATIONAL FORUM SL,"Non-governmental organisations, platforms and networks and similar",2468.73983650364,6.0,MR JOSE LUIS RODRIGUEZ GARCIA,,,ESB84235456,5.0
1011,Eaton Corporation,Companies and groups,20752000.0,92000.0,EATON CORPORATION PLC,20752.0,92000.0,IE512978,2.0
1012,LA POSTE,Companies and groups,4673198.99785519,34509.0,ETAT BELGE,,,BE0214596464,11.0
1013,Environmental Partnership Association,,,,,,,GB03186154,3.0
1014,European Non-Governmental Sports Organisation,"Non-governmental organisations, platforms and networks and similar",,,,,,FI31743392,1.0
1015,EM Strasbourg Business School,,,,,,,,1.0
1016,European Liver Patients' Association,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0875568916,3.0
1017,Political Festival of Europe,"Non-governmental organisations, platforms and networks and similar",,3.0,,,,DK41923962,1.0
1018,Payments Europe,Trade and business associations,,2.0,FREELANCER LIMITED,39.0,,GB10294076,4.0
1019,The Green Tank,Think tanks and research institutions,364.186987280846,16.0,MR JOAO MATEUS NUNES DOS SANTOS,,,BR37136114000173,1.0
1020,"UNION DE SELVICULTORES DEL SUR DE EUROPA, AEIE","Non-governmental organisations, platforms and networks and similar",,,,,,ESV48526420,2.0
1021,ista SE,Companies and groups,,, ,,,FR439202292,1.0
1022,Wine Institute,Trade and business associations,6510.0,6.0,,,,US180828717L,1.0
1023,Union des entreprises de proximité,Trade unions and professional associations,,, ,,,FR349681098,1.0
1024,"Clearpay, S.A.U.",Companies and groups,2124.42695145321,17.0,BLOCK INC,17532.0,12428.0,ESA85827335,1.0
1025,European Microfinance Network aisbl,"Non-governmental organisations, platforms and networks and similar",,0.0,,,,SE5020725346,4.0
1026,Unilever,Companies and groups,64073831.0581446,126988.0,UNILEVER PLC,64074.0,126988.0,GB00041424,28.0
1027,Lov Group Invest,,5792.0,,MR COURBIT STEPHANE,,,FR494031008,2.0
1028,Arbeitsgemeinschaft Deutscher Waldbesitzerverbände e. V.,Trade and business associations,,1.0,ARBEITSGEMEINSCHAFT DEUTSCHER WALDBESITZERVERBÄNDE E.V.,,1.0,DE4270062428,2.0
1029,European Centre for Development Policy Management,Think tanks and research institutions,,,,,,,4.0
1030,Akuo Energy,Companies and groups,57844.2532868212,,AKUO,2.0,,FR495259061,10.0
1031,Trilateral Research,Think tanks and research institutions,,54.0,TRILATERAL RESEARCH LTD,,54.0,GB08698690,1.0
1032,"JIC, zájmové sdružení právnických osob","Other organisations, public or mixed entities",4608.82434479892,,"JIC, ZAJMOVE SDRUZENI PRAVNICKYCH OSOB",5.0,,CZ71180478,1.0
1033,Carl Zeiss AG,Companies and groups,1106955.34649611,4435.0,JENOPTIK AG,1107.0,4435.0,DE3410000012,2.0
1034,Hewlett Packard Enterprise,Companies and groups,4240202.99999964,,HEWLETT PACKARD ENTERPRISE COMPANY,28496.0,60200.0,SG201502917N,10.0
1035,ANFACO-CECOPESCA,Trade and business associations,,,,,,ESLEI1256416,4.0
1036,Open Government Partnership Secretariat,"Non-governmental organisations, platforms and networks and similar",1860.0,35.0,,,,US313020059L,5.0
1037,Value Reporting Foundation,,70.0,2.0,,,,US348444773L,1.0
1038,Onego Bio,Companies and groups,1726.82457149029,7.0,,,,FI32607819,1.0
1039,Puolustus- ja Ilmailuteollisuus PIA ry,Trade and business associations,106.659948825836,2.0,,,,FI15345108,1.0
1040,Defend Democracy,"Non-governmental organisations, platforms and networks and similar",,,,,,NL77749901,4.0
1041,Kraftkvinnorna,"Non-governmental organisations, platforms and networks and similar",,,,,,SE8025046171,2.0
1042,Unia Producentów i Pracodawców Przemysłu Mięsnego,Trade and business associations,,5.0,,,,PL140652872,2.0
1043,European Forum of technical and Vocational Education and Training,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0640973921,14.0
1044,Carnegie Climate Governance Initiative,,,,,,,,2.0
1045,World Wide Fund for Nature - Greece,"Non-governmental organisations, platforms and networks and similar",,,,,,GRLEI826597,1.0
1046,YZR,,8430.0,5.0,,,,US314377952L,2.0
1047,"eustream, a.s.",Companies and groups,579094.690895796,627.0,"SLOVENSKY PLYNARENSKY PRIEMYSEL, A.S.",5429.0,711.0,SK35910712,2.0
1048,PA Europe,Professional consultancies,3320.84364089906,2.0,MR ENZO MASSIMILIANO PATRI,,,IT07394140961,2.0
1049,Danone,Companies and groups,29503208.4447145,96166.0,DANONE,29503.0,96166.0,FR552032534,24.0
1050,Stichting Sustainable Finance Lab,Think tanks and research institutions,,,,,,NL55983340,2.0
1051,Council of European Energy Regulators,"Non-governmental organisations, platforms and networks and similar",,9.0,,,,BE0861035445,1.0
1052,International Pollutants Elimination Network,"Non-governmental organisations, platforms and networks and similar",0.000110642723739147,7.0,,,,SE8024422449,3.0
1053,RUNDEN Packaging & Logistics GmbH & Co. KG,Companies and groups,67305.5377072028,342.0,RUNDEN GROUP GMBH & CO. KG,67.0,342.0,DE2051045133,1.0
1054,Honeywell Europe NV,Companies and groups,21951.6840678453,33.0,HONEYWELL INTERNATIONAL INC,35466.0,97000.0,BE0412674127,14.0
1055,European Cigar Manufacturers Association,Trade and business associations,,1.0,,,,BE0478332041,1.0
1056,"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU",Trade and business associations,,,,,,,11.0
1057,European Law Institute,"Non-governmental organisations, platforms and networks and similar",,,,,,BE0837276779,5.0
1058,Luossavaara Kiirunavaara Aktiebolag,Companies and groups,4494643.73032749,4513.0,REGERINGSKANSLIET,0.0,4500.0,SE5560015835,5.0
1059,Panhellenic Union of Pharmaceutical Industry,Trade and business associations,,,,,,GR090194714,2.0
1060,Union Internationale de la Propriété Immobilière - International Union of Property Owners,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0882810955,2.0
1061,Masarykova univerzita,Academic institutions,247319.66045817,,MASARYKOVA UNIVERZITA,247.0,,CZ00216224,1.0
1062,ACT group,Companies and groups,372119.700606823,3192.0,,,,GB91021EX,1.0
1063,Citigroup Inc.,Companies and groups,75570000.0,249658.0,CITIGROUP INC,75832.0,249658.0,US521568099,20.0
1064,Hague Conference on Private International Law,,,,,,,,1.0
1065,The European Chamber of Commerce in Hong Kong,Trade and business associations,,,,,,HK0003172867,1.0
1066,US Council for International Business,Trade and business associations,130.0,2.0,,,,US167446065L,1.0
1067,SYSTEMIQ LIMITED,Companies and groups,45006.5828573704,266.0,,,,GB09950762,7.0
1068,Stellantis,Companies and groups,191552735.295296,282926.0,STELLANTIS N.V.,191553.0,282926.0,NL60372958,8.0
1069,Tax Justice Network,"Non-governmental organisations, platforms and networks and similar",2950.79041797555,19.0,,,,GB05327824,1.0
1070,Hardt,,,,MR MICHAEL ENGELBERT HARDT,,,DE6150017707,2.0
1071,Pharmaceutical Research and Manufacturers of America,Trade and business associations,154000.0,100.0,,,,US132970187L,1.0
1072,Climate-KIC Holding BV,"Other organisations, public or mixed entities",45243.9833496881,164.0,CLIMATE-KIC HOLDING B.V.,45.0,164.0,NL63299658,3.0
1073,Computer & Communications Industry Association,Trade and business associations,3800.0,7.0,COMPUTER & COMMUNICATIONS INDUSTRY ASSOC,4.0,7.0,US131281685L,9.0
1074,Českomoravská konfederace odborových svazů,Trade unions and professional associations,4.42067123949528,75.0,CESKOMORAVSKA KONFEDERACE ODBOROVYCH SVAZU,0.0,75.0,CZ00675458,4.0
1075,General Catalyst,,3736.0,8.0,,,,US116839880GN,2.0
1076,Koninklijke Vereniging van Gasfabrikanten in Nederland,Trade and business associations,,,,,,NL40102103,1.0
1077,BOUYGUES EUROPE,Companies and groups,,2.0,BOUYGUES,50191.0,196154.0,BE0843075104,20.0
1078,FinMobility ry,Trade and business associations,106.659948825836,2.0,,,,FI30842858,5.0
1079,Circle Internet Financial,Companies and groups,85001.269123714,,CIRCLE INTERNET FINANCIAL LIMITED,85.0,,IE531058,1.0
1080,Reinsurance Advisory Board,Trade and business associations,,,,,,,2.0
1081,Lykke Advice,Professional consultancies,,2.0,MADAME METTE LYKKE NIELSEN,,,BE0651597302,1.0
1082,Freemuse,,,1.0,,,,DK28161921,1.0
1083,Rolls-Royce plc,,16315930.9482574,41800.0,ROLLS-ROYCE HOLDINGS PLC,16648.0,41800.0,GB01003142,10.0
1084,Business for Nature,,,,,,,,2.0
1085,The LEGO Group,Companies and groups,5567.08507156372,28.0,,,,GBML8107510,14.0
1086,London Stock Exchange Group,Companies and groups,9531303.44891548,24441.0,LONDON STOCK EXCHANGE GROUP PLC,9531.0,24441.0,GB05369106,8.0
1087,Space Exploration Technologies Corp.,Companies and groups,13626000.0,6000.0,MR ELON R MUSK,,,US149289726L,2.0
1088,Institut du Développement Durable et des Relations Internationales,Think tanks and research institutions,,,,,,,3.0
1089,Voka - Vlaams Netwerk van Ondernemingen,,9266.27184235394,33.0,,,,BE0413673821,4.0
1090,International La Strada Association,"Non-governmental organisations, platforms and networks and similar",,,,,,NL34215238,2.0
1091,Bund für Umwelt und Naturschutz Deutschland e. V.,"Non-governmental organisations, platforms and networks and similar",,118.0,BUND FÜR UMWELT- UND NATURSCHUTZ DEUTSCHLAND E.V.,,118.0,DE2011239187,2.0
1092,DAIKIN Europe NV,Companies and groups,5813530.37207866,13046.0,"DAIKIN INDUSTRIES,LTD.",29829.0,96337.0,BE0412120336,1.0
1093,CFA Institute,,130000.0,1050.0,CFA INSTITUTE,130.0,1050.0,US256218914L,3.0
1094,Dyntra ivzw,,,,,,,BE0735635132,1.0
1095,SPAR Österreichische Warenhandels-AG,Companies and groups,7254693.00909695,29371.0,HOLDAG BETEILIGUNGSGESELLSCHAFT M.B.H.,15063.0,71863.0,AT9130000945,9.0
1096,PLUG POWER EUROPE,,6525.08026134968,,PLUG POWER INC,701.0,3353.0,FR444676944,3.0
1097,Notre Europe - Institut Jacques Delors / Notre Europe - Jacques Delors Institute,Think tanks and research institutions,,, ,,,FR410100184,25.0
1098,ASOCIACIÓN DE EMPRESAS DE ENERGÍA ELÉCTRICA,Trade and business associations,,,,,,,2.0
1099,InnoGlobal,Professional consultancies,491.605881831575,,,,,PHCS201713703,2.0
1100,Havenbedrijf Antwerpen - Brugge NV van publiek recht,"Other organisations, public or mixed entities",,,ETAT BELGE,,,BE8-906M,8.0
1101,CARE France,"Non-governmental organisations, platforms and networks and similar",1543.0,, ,,,FR510817372,1.0
1102,AK Public Affairs,Professional consultancies,,3.0,,,,BE0782623912,3.0
1103,European Peacebuilding Liaison Office,"Non-governmental organisations, platforms and networks and similar",1047.00392246008,8.0,,,,BE0476721544,5.0
1104,For a Beautiful World,"Non-governmental organisations, platforms and networks and similar",,,,,,NL86788116,1.0
1105,Universiteit Twente,Academic institutions,445145.522117615,2700.0,UNIVERSITEIT TWENTE,445.0,2700.0,NL50130536,1.0
1106,Deutsches Institut für Wirtschaftsforschung,Think tanks and research institutions,,,,,,DK40730192,1.0
1107,European North Atlantic Fisheries Association,,,,,,,,1.0
1108,Aviva Investors,,82539.7526322913,57.0,AVIVA PLC,22831.0,,LULB25708,1.0
1109,JOINT-STOCK COMPANY ACCENT-BANK,Companies and groups,118999.629520532,,"JSC ""A - BANK",121.0,,UA14360080,2.0
1110,Ontario Teachers' Pension Plan Board,Companies and groups,,,ONTARIO TEACHERS' PENSION PLAN BOARD,,,CL591286609,1.0
1111,EUROPEAN AUSTRALIAN BUSINESS COUNCIL,Trade and business associations,1305.31231526285,,EUROPEAN-AUSTRALIAN BUSINESS COUNCIL LIMITED,1.0,,AU088522098,10.0
1112,Verbraucherzentrale Bundesverband,"Non-governmental organisations, platforms and networks and similar",,,,,,DE*834486112,6.0
1113,Paulig Group,Companies and groups,1190882.86042869,2278.0,SUKU PAULIGIN,,,FI01125630,3.0
1114,Open Doors International,"Non-governmental organisations, platforms and networks and similar",6580.0,13.0,"OPEN DOORS INTERNATIONAL, INC.",7.0,13.0,US123993482L,1.0
1115,Reporters sans frontières,"Non-governmental organisations, platforms and networks and similar",3833.54723453522,16.0,,,,BR22403333000102,26.0
1116,ZF Friedrichshafen AG,Companies and groups,48550542.1060324,162614.0,ZEPPELIN-STIFTUNG,,,DE8210000084,15.0
1117,Honorair Consulaat der Nederlanden Amazonas / Rorairma,,,,,,,,1.0
1118,Fédération Nationale des Activités de Dépollution et de l'Environnement,Trade and business associations,,,,,,,1.0
1119,Sonnedix Power Holdings Ltd,,,,SONNEDIX POWER HOLDINGS LIMITED,,,BM49366R,1.0
1120,Vanguard Asset Management Limited,Companies and groups,190015.852954388,14.0,VANGUARD GROUP INC,10404.0,13000.0,GB07243412,7.0
1121,Archer Daniels Midland,Companies and groups,195930.059595108,286.0,ARCHER DANIELS MIDLAND COMPANY,101556.0,42000.0,NL24160592,2.0
1122,Coalition Clean Baltic,"Non-governmental organisations, platforms and networks and similar",,15.0,,,,SE8020151281,4.0
1123,Nederlands Olympisch Comité * Nederlandse Sport Federatie,"Other organisations, public or mixed entities",,303.0,NEDERLANDS OLYMPISCH COMITE*NEDERLANDSE SPORT FEDERATIE,,303.0,NL09059703,1.0
1124,Liberty Global Corporate B.V.,Companies and groups,,,LIBERTY GLOBAL PLC,7196.0,10100.0,NL80203779,9.0
1125,Institut pro politiku a společnost,,88.4134247899055,3.0,,,,CZ22768670,1.0
1126,Global Sovereign Advisory,,,,MR KINGSLEY IKE AKUNWA,,,GB13676271,1.0
1127,European Water Association,"Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
1128,Conseil Européen des Associations de Traducteurs Littéraires,"Non-governmental organisations, platforms and networks and similar",,,,,,BE0451407514,1.0
1129,Cloudflare,Companies and groups,108372.091344277,365.0,"CLOUDFLARE, INC.",975.0,3217.0,GB08778322,4.0
1130,Trans-Atlantic Business Council,,,1.0,,,,BE0843057880,2.0
1131,One Young World,"Non-governmental organisations, platforms and networks and similar",6899.53790079236,37.0,ONE YOUNG WORLD LIMITED,7.0,37.0,GB06970067,1.0
1132,Oxfam-Magasins du Monde,,11376.4570205426,63.0,,,,BE0416486821,1.0
1133,Syndicat des énergies renouvelables,Trade unions and professional associations,,,SYNDICAT DES ENERGIES RENOUVELABLES,,,FR419710280,1.0
1134,FIPRA International SRL,Professional consultancies,,,,,,BE0733774811,20.0
1135,Assemblée des Régions Européennes Viticoles,Trade unions and professional associations,,,ASSEMBLÉE DES RÉGIONS EUROPÉENNES VITICOLES,,,FR*4000000159036,2.0
1136,BIMCO,Trade and business associations,48500.0,18.0,"BIMCO PROPERTY MANAGEMENT, LLC",49.0,18.0,US127332000L,1.0
1137,Glass Fibre Europe,Trade and business associations,,,,,,,2.0
1138,Rio Tinto,Companies and groups,57414000.0,54000.0,RIO TINTO LIMITED,57414.0,54000.0,AU004458404,4.0
1139,ALDI SÜD Dienstleistungs-SE & Co. oHG,Companies and groups,550496.375972906,1797.0,SIEPMANN-STIFTUNG,,,DE5250250917,1.0
1140,ASML Netherlands B.V.,Companies and groups,,2562.0,ASML HOLDING N.V.,22584.0,39086.0,NL17052456,19.0
1141,Metropolitan Cities MC GmbH,,,12.0,MR GERHARD GUDERGAN,,,DE5010624798,1.0
1142,Journalismfund.eu,"Non-governmental organisations, platforms and networks and similar",3383.74421252012,8.0,,,,BE0463312580,2.0
1143,Imerys SA,Companies and groups,5768596.67229652,13892.0,GROUPE BRUXELLES LAMBERT SA,9541.0,13450.0,FR562008151,2.0
1144,Wind Tre s.p.a.,Companies and groups,4735701.72786713,6246.0,CK HUTCHISON HOLDINGS LIMITED,37228.0,300000.0,IT02517580920,1.0
1145,Baden-Württembergische Wertpapierbörse,,,32.0,VEREINIGUNG BADEN-WÜRTTEMBERGISCHE WERTPAPIERBÖRSE  E. V.,,3.0,DE7330496204,1.0
1146,Constantia Flexibles International GmbH,Companies and groups,95249.5510534313,63.0,FAMILLE WENDEL,,,AT9110781625,1.0
1147,Ford Motor Company,Companies and groups,158057000.0,173000.0,FORD MOTOR CO,158057.0,173000.0,US380549190,6.0
1148,EuroCommerce,Trade and business associations,14514.5588856888,19.0,,,,IT12008291002,53.0
1149,Suomen luonnonsuojeluliitto - The Finnish Association for Nature Conservation,"Non-governmental organisations, platforms and networks and similar",745.553042292595,5.0,"SUOMEN LUONNONSUOJELULIITTO RY, RUOTSIKSI FINLANDS NATURSKYDDSFORBUND RF",6.0,75.0,FI29607535,2.0
1150,The Swedish Trade Union Confederation,Trade unions and professional associations,,,,,,SE*1501745,14.0
1151,Institutional Investors Group on Climate Change,"Non-governmental organisations, platforms and networks and similar",5349.50017688644,29.0,,,,GB07921860,3.0
1152,Abodoo Limited,Companies and groups,,3.0,GOVERNMENT OF IRELAND,,,IE591056,6.0
1153,The Pan European Reserves and Resources Reporting Committee,"Non-governmental organisations, platforms and networks and similar",,,,,,BE0521825257,2.0
1154,"Deutscher Naturschutzring, Dachverband der deutschen Natur-, Tier- und Umweltschutzverbände (DNR) e.V.","Non-governmental organisations, platforms and networks and similar",,42.0,,,,DE5030079306,4.0
1155,Garrett Motion,Companies and groups,3603000.0,9300.0,GARRETT MOTION INC.,3603.0,9300.0,US824873189,1.0
1156,Institute for Climate Economics,Think tanks and research institutions,,,,,,,2.0
1157,Construction Products Association,Trade and business associations,1943.16220875764,14.0,CONSTRUCTION PRODUCTS ASSOCIATION,2.0,14.0,GB03861752,1.0
1158,Global Refugee Sponsorship Initiative,,,,,,,,2.0
1159,Federation of Young European Greens,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
1160,MBO Raad,"Non-governmental organisations, platforms and networks and similar",,78.0,,,,NL40483179,4.0
1161,Stockholm university,Academic institutions,,,,,,SE*1300894123,1.0
1162,Organisation des Jeunes pour l'Union Européenne et Africaine,"Non-governmental organisations, platforms and networks and similar",,, ,,,FR882284458,2.0
1163,Irish Pharmaceutical Healthcare Association,Trade and business associations,,9.0,,,,IE254776,1.0
1164,Fundacja Inicjatywa Dom Otwarty,"Non-governmental organisations, platforms and networks and similar",,,,,,PL520490680,2.0
1165,Etsy Ireland,Companies and groups,748960.268318653,101.0,"ETSY, INC.",2566.0,2790.0,IE495696,8.0
1166,International Trademark Association,Trade and business associations,12400.0,10.0,,,,US134682676L,1.0
1167,European Insulation Manufacturers Association,Trade and business associations,,,,,,LULF5885,8.0
1168,The Climate Group (UK registered name: The Climate Change Organisation),Companies and groups,,1.0,,,,BE0899812580,1.0
1169,WeProtect Global Alliance,"Non-governmental organisations, platforms and networks and similar",1372.77600754321,,,,,GB12582078,1.0
1170,Move EU - The European Association of On-Demand Mobility,,,,,,,,12.0
1171,Lilium GmbH,Companies and groups,2997.80358850956,468.0,LILIUM N.V.,3.0,947.0,DE8290769888,2.0
1172,ART 2030,"Non-governmental organisations, platforms and networks and similar",,7.0,,,,DK38354272,1.0
1173,European Council of Optometry and Optics,Trade unions and professional associations,299.654145961761,,,,,GB03212160,1.0
1174,Abbott,Companies and groups,578667.021129106,,ABBOTT LABORATORIES,43653.0,115000.0,FR602950206,2.0
1175,The Association of Polish Papermakers,Trade and business associations,,,,,,,2.0
1176,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España","Other organisations, public or mixed entities",16707.0097874165,104.0,,,,ESQ2802216H,4.0
1177,GIGAS HOSTING S.A.,,65675.8634895086,328.0,GIGAS HOSTING SA,66.0,328.0,ESA86125218,2.0
1178,WEC Italia (Comitato Nazionale Italiano del Consiglio Mondiale dell'Energia),"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
1179,Sodexo SA,Companies and groups,319064.515,2483.0,BELLON,4.0,,BE0407246778,1.0
1180,European Energy Forum,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
1181,Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners,Trade unions and professional associations,1599.89923238754,2.0,,,,FI02000100,23.0
1182,Polish Vodka Association,Trade and business associations,3328.41118392348,16.0,MRS MALGORZATA SMIEJA,,,PL200789412,3.0
1183,Stowarzyszenie Interwencji Prawnej (Association for Legal Intervention),"Non-governmental organisations, platforms and networks and similar",459.852220997214,,,,,PL140229381,6.0
1184,BPCE,Companies and groups,12436550.0330925,,BPCE SA,12437.0,,FR493455042,13.0
1185,DNB Bank ASA,Companies and groups,6661764.88257945,10625.0,DNB BANK ASA,6703.0,10255.0,NO984851006,2.0
1186,Randstad N.V.,Companies and groups,29404014.6923065,708790.0,RANDSTAD N.V.,29404.0,708790.0,NL33216172,5.0
1187,Brot für die Welt,"Non-governmental organisations, platforms and networks and similar",,,,,,,2.0
1188,Concordia Sozialprojekte Gemeinnützige Privatstiftung,"Non-governmental organisations, platforms and networks and similar",,16.0,,,,AT9110684197,2.0
1189,The Innovation in Politics Institute GmbH,Companies and groups,,,THE INNOVATION IN POLITICS INSTITUTE GMBH,,,AT9111048515,1.0
1190,European Network of Scientists for Social and Environmental Responsibility,Think tanks and research institutions,,,,,,,1.0
1191,VIVENDI,Companies and groups,,1.0,VIVENDI SE,11095.0,38315.0,DE2010675765,1.0
1192,Brussels Taxi Fed,Trade unions and professional associations,,,,,,BE0735760143,1.0
1193,INEOS AG,Companies and groups,,35.0,MR JAMES ARTHUR RATCLIFFE,,,CHCHE115531011,1.0
1194,Svensk Kollektivtrafik,,0.829820428043604,35.0,SVENSK KOLLEKTIVTRAFIK,0.0,35.0,SE8020021500,1.0
1195,Investor AB,Companies and groups,4968879.6158433,16246.0,INVESTOR AKTIEBOLAG,4969.0,16246.0,SE5560138298,7.0
1196,NOS,Companies and groups,1739536.30419135,1803.0,"NOS SGPS, S.A.",1740.0,1803.0,PT504453513,1.0
1197,Confédération Française Démocratique du Travail,,,, ,,,FR399047331,1.0
1198,Attero,,331648.18219614,768.0,SABATON VENTURES HOLDCO B.V.,432.0,733.0,NL05053670,2.0
1199,Starbucks Coffee Co.,,7500.0,35.0,,,,US115839981GN,1.0
1200,SEKAB Biofuels & Chemicals AB,Companies and groups,105320.453662395,69.0,NORRLANDS ETANOLKRAFT AB,106.0,71.0,SE5562634088,1.0
1201,Alliance internationale de journalistes,,,, ,,,FR511701948,2.0
1202,European Road Transport Telematics Implementation Coordination Organisation-Intelligent Transport Systems & Services Europe,Think tanks and research institutions,,22.0,,,,BE0445743506,1.0
1203,Prime Laser Technology SA,Companies and groups,5899.41372990131,20.0,MR KONSTANTINOS TRAVASSAROS,,,GR008220701000,3.0
1204,Remeha B.V.,Companies and groups,2346801.52303278,6464.0,STICHTING AANDELEN REMEHA,,,NL08011462,1.0
1205,Common Futures. Energy Transition Specialists B.V.,Professional consultancies,,,,,,NL83789561,5.0
1206,Climate Alliance of European cities with indigenous rainforest peoples,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
1207,European Deafblind Network,"Non-governmental organisations, platforms and networks and similar",,0.0,,,,DK33692366,1.0
1208,KWS SAAT SE & Co. KGaA,Companies and groups,1630899.01306748,4865.0,FAMILIEN BUCHTING/AREND OETKER/GIESECKE,,,DE2110001491,2.0
1209,Childhood Cancer International - Europe,"Non-governmental organisations, platforms and networks and similar",,,,,,AT9111250255,1.0
1210,Fnac Darty,Companies and groups,8478825.97196102,25293.0,FNAC DARTY,8479.0,25293.0,FR055800296,2.0
1211,Foundation for United Nations SDG,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
1212,Active Assisted Living Programme,,,,,,,,2.0
1213,QWANT,,13565.6148508286,,QWANT,14.0,,FR532867256,1.0
1214,Organisation Mondiale de la Jeunesse Espérantiste,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
1215,Weber Shandwick,Professional consultancies,50263.3065968752,305.0,INTERPUBLIC GROUP OF COMPANIES INC,10928.0,58400.0,GB02442501,1.0
1216,Friends of Europe,Think tanks and research institutions,,36.0,,,,BE0465872192,18.0
1217,Clever Cloud,Companies and groups,1105.10135748307,,,,,KR2301110319979,1.0
1218,Beiten Burkhardt,,80.0,3.0,,,,US298280057L,1.0
1219,ACCIS,Trade and business associations,4216.90195798874,3.0,,,,BR06350560000152,4.0
1220,Italgas,Companies and groups,2468767.17451513,4397.0,ITALGAS S.P.A.,2469.0,4397.0,IT09540420966,1.0
1221,Centrum Innowacyjnej Edukacji,,,5.0,,,,PL361206986,1.0
1222,TecPart - Verband Technische Kunststoff-Produkte e.V.,Trade and business associations,,4.0,,,,DE6070515342,1.0
1223,European Association for Coal and Lignite,Trade and business associations,,,,,,,2.0
1224,Vitesco Technologies Group AG,Companies and groups,10305590.9155011,38043.0,VITESCO TECHNOLOGIES GROUP AG,10306.0,38043.0,DE2190793943,2.0
1225,CODA Oslo International Dance Festival,"Non-governmental organisations, platforms and networks and similar",576.97770293057,4.0,,,,NO983924115,1.0
1226,Jaguar Land Rover Limited,Companies and groups,28227283.8492393,38379.0,TATA MOTORS LIMITED,42364.0,81811.0,GB06477691,1.0
1227,Confindustria Dispositivi Medici,Trade and business associations,,,CONFINDUSTRIA DISPOSITIVI MEDICI,,,IT97123730158,1.0
1228,TIMEmSYSTEM,,,30.0,HGCAPITAL LLP,237.0,228.0,DK32783899,1.0
1229,Christelijk Nationaal Vakverbond Vakcentrale,Trade unions and professional associations,,,,,,NL30478675,3.0
1230,Association for the European Citizens' Initiative e.V.,"Non-governmental organisations, platforms and networks and similar",,,,,,DE7010414165,1.0
1231,VR Ventures Management GmbH,,,1.0,BERLINER VOLKSBANK EG,,1614.0,DE2012916682,2.0
1232,Business & Human Rights Resource Centre,"Non-governmental organisations, platforms and networks and similar",2884.21747219849,39.0,,,,GB04555494,2.0
1233,Lightsource bp,Companies and groups,,,,,,,5.0
1234,Linde Public Limited Company,,33382000.0,65010.0,LINDE PUBLIC LIMITED COMPANY,33382.0,65010.0,IE606357,2.0
1235,Leibniz Institute for Financial Research SAFE,Think tanks and research institutions,,,,,,,1.0
1236,Futerro,Companies and groups,745.824905885935,10.0,FAMILLE LIPPENS,,,BE0892199070,1.0
1237,HUMBOLDT-VIADRINA Governance Platform,,,19.0,,,,DE2012521888,2.0
1238,Omio Travel GmbH,Companies and groups,75516.1255002022,278.0,GOEUROP CORP.,,,DE2012280532,1.0
1239,European Association of Communications Agencies,Trade and business associations,,4.0,,,,BE0422332060,1.0
1240,European Technology Chamber,,,15.0,EUROPEAN TECHNOLOGY CHAMBER,,15.0,CHCHE214072917,1.0
1241,"PayPal Limited, Belgium Branch",Companies and groups,,2.0,,,,NL34318455,3.0
1242,Private Investors for Africa,Trade and business associations,,,,,,,1.0
1243,Bureau National Interprofessionnel du Cognac,Trade unions and professional associations,,,,,,,1.0
1244,ExxonMobil Petroleum & Chemical,Companies and groups,29745326.5285492,1823.0,EXXON MOBIL CORP,398675.0,62000.0,BE0416375270,21.0
1245,EU Strategy,Professional consultancies,,12.0,,,,BE0821127368,3.0
1246,Saab AB,Companies and groups,4038916.95015132,19002.0,SAAB AB,4039.0,19002.0,SE5560360793,11.0
