,Name,Type,Betweenness,Closeness,Degree
58,Stefano Grassi,Cabinet Member,1.0933429855799973e-10,0.2662416036943745,152
59,Jaan Mannik,Cabinet Member,1.0194160376263075e-12,0.21832304150440002,4
60,Barbara GLOWACKA,Cabinet Member,4.8009808056753705e-11,0.2536940270520289,71
61,Laure Chapuis-Kombos,Cabinet Member,5.815487901780727e-11,0.26031965930372764,88
62,Peeter Kadarik,Cabinet Member,1.1221693744958342e-11,0.23772930674975987,24
63,Ruud Kempener,Cabinet Member,2.135441787972122e-11,0.2391355580693816,33
64,Kitti Nyitrai,Cabinet Member,1.1255370414605718e-11,0.24677156545635837,42
65,Tatiana Marquez Uriarte,Cabinet Member,4.9990439366109016e-11,0.2595870961139963,68
66,Thor-Sten Vertmann,Cabinet Member,7.851094290707098e-11,0.26033301690740696,112
67,Anna-kaisa Itkonen,Cabinet Member,0.0,0.20736941061064335,1
68,Maria Krikou,Cabinet Member,7.146554694697357e-13,0.18909802459932912,4
69,Maria Luisa Llano Cardenal,Cabinet Member,3.40784321255354e-11,0.24895115189283348,41
70,Despina Spanou,Cabinet Member,2.8121235626560073e-11,0.24651377484087264,39
71,Natasha Bertaud,Cabinet Member,1.6117949425230916e-11,0.226809423756091,24
72,Maria-Myrto Kanellopoulou,Cabinet Member,5.837139152410101e-12,0.20996978851963746,13
73,Vangelis Demiris,Cabinet Member,2.511425315704316e-11,0.22141002422047176,30
74,Catherine Sustek,Cabinet Member,1.4824473453031917e-11,0.23301795802140265,22
75,Chris Uregian,Cabinet Member,4.022848578806898e-11,0.24914064034570813,50
76,Antoine Colombani,Cabinet Member,1.179998230774427e-10,0.2795778916625338,119
77,Olivia Gippner,Cabinet Member,5.0333335561290775e-12,0.21180178675795275,9
78,Anthony Agotha,Cabinet Member,5.727094918131705e-11,0.26645833880412806,60
79,Riccardo Maggi,Cabinet Member,7.86748349245058e-11,0.26977374843804003,111
80,Damyana Stoynova,Cabinet Member,2.730766364618312e-11,0.2610832368454908,43
81,Lukas Visek,Cabinet Member,1.961629755195056e-10,0.26651432773881756,174
82,Sarah Nelen,Cabinet Member,5.5871639599401354e-11,0.2628211769581434,72
83,Jori Keijsper,Cabinet Member,6.470111549556067e-12,0.2222830730136476,12
84,Daniel Mes,Cabinet Member,2.2071130558547125e-10,0.27487471217662196,197
85,Stefanie Hiesinger,Cabinet Member,9.316214124010738e-11,0.26838235294117646,115
86,Estela Pineiro-Kruik,Cabinet Member,6.64465982252065e-13,0.22297668490561892,6
87,Aleksandra Tomczak,Cabinet Member,2.464321796942348e-10,0.27778690319754706,237
88,Helena Braun,Cabinet Member,3.649614509806684e-10,0.280451065476355,256
89,Diederik Samsom,Cabinet Member,3.729477226243693e-10,0.2837766031825936,302
90,Ingrid Godkin,Cabinet Member,6.730506211020197e-12,0.2108379911484198,15
91,Deša Srsen,Cabinet Member,8.273001321538754e-12,0.21928554448598533,17
92,Vesna Lončarić,Cabinet Member,1.643321032344249e-13,0.1834801005370414,3
93,Colin Scicluna ,Cabinet Member,8.981797124684165e-14,0.17587312592079035,2
94,Colin Scicluna,Cabinet Member,1.5442872236160883e-11,0.23568077298276582,18
95,Mattia De Grassi,Cabinet Member,2.97492406993148e-11,0.24008612530759038,35
96,Toma Sutic,Cabinet Member,3.3738664537761046e-11,0.23976843100189035,31
97,Iris Abraham ,Cabinet Member,1.2725369992716833e-11,0.22076933118663244,23
98,Antonia Curdo,Cabinet Member,0.0,0.1809024620705639,1
99,Astrid Dentler,Cabinet Member,3.724772314397601e-11,0.24177945101029355,41
100,Marion Finke,Cabinet Member,2.44194463783896e-13,0.19581998533328188,3
101,Ivo Belet,Cabinet Member,1.3817471056107699e-11,0.22490912314921535,22
102,Laurent Bontoux,Cabinet Member,0.0,0.1520309245913429,1
103,Adam Romanowski,Cabinet Member,1.2765118599740444e-11,0.23811423475853005,25
104,Carsten Schierenbeck,Cabinet Member,1.6575157579956536e-12,0.21800408207111396,6
105,Sofia Asteriadi,Cabinet Member,8.432323905967442e-14,0.2199367088607595,2
106,Frauke Hoss,Cabinet Member,9.066790966903718e-13,0.23412551915089985,6
107,Grave Martijn De,Cabinet Member,2.0461306071912157e-12,0.21194778067885117,2
108,Gabriela Keckesova,Cabinet Member,2.804541140004997e-13,0.21362105263157893,4
109,Dimitri Lorenzani,Cabinet Member,3.5208688102198144e-11,0.24341505541428776,44
110,Juraj Nociar,Cabinet Member,8.260814646092792e-12,0.22702763172614387,15
111,Renáta Goldírová,Cabinet Member,4.3919628695043483e-13,0.20789198713352045,4
112,Pablo Fabregas Martinez,Cabinet Member,5.652496736291978e-11,0.24316422631742912,63
113,Rachel Smit,Cabinet Member,4.113764904000174e-11,0.24485412996790618,64
114,Roxana Lesovici,Cabinet Member,3.8044650227470896e-11,0.23852844381758345,46
115,Elzbieta Lukaniuk,Cabinet Member,7.061036682937796e-11,0.24078688213378896,76
116,Gaëlle Michelier,Cabinet Member,3.2850728111187054e-11,0.2399952696310312,56
117,Filip Alexandru Negreanu Arboreanu,Cabinet Member,1.1890343799510971e-10,0.26420350986824975,118
118,Walter Goetz,Cabinet Member,8.679435191570586e-11,0.25077231050589427,107
119,Carmen Preising,Cabinet Member,1.8289637348014736e-11,0.23296980828837102,38
120,Rozalina Petrova,Cabinet Member,5.558477258035185e-11,0.2569381140484149,69
121,Simonas ŠATŪNAS,Cabinet Member,5.95475197686502e-12,0.23020554471618496,13
122,Luke  Haasbeek,Cabinet Member,8.75003196616696e-15,0.18244093638750045,2
123,Eglantine Cujo,Cabinet Member,1.4260332848207003e-11,0.23966649345741414,27
124,Elena Montani,Cabinet Member,3.086848131997596e-11,0.24643594414086217,47
125,Camilla Bursi,Cabinet Member,5.487853582454965e-11,0.2564251598392762,70
126,Ruben Alexander Schuster,Cabinet Member,6.831590232800718e-12,0.23317860097435425,16
127,Agne Razmislaviciute-Palioniene,Cabinet Member,2.6827678174085162e-11,0.22899505766062603,45
128,Marius  Vaščega ,Cabinet Member,3.893259334547845e-11,0.25265805134334307,49
129,Arunas Ribokas,Cabinet Member,2.979728258218944e-11,0.24254810565316123,33
130,Andrea Vettori,Cabinet Member,9.29059845589125e-12,0.23183074778953142,19
131,Sarah Ziane ,Cabinet Member,0.0,0.18907335979279632,1
132,Alessio Nardi,Cabinet Member,1.6078020910059156e-13,0.18962456317392687,2
133,Katri Teedumae,Cabinet Member,3.875105291329585e-12,0.19031810338359967,4
134,Selma Haenicke,Cabinet Member,3.1125422958755284e-13,0.16688046839023749,2
135,Karolina RUDZINSKA,Cabinet Member,0.0,0.14642346931413153,1
136,Laszlo Kristoffy,Cabinet Member,2.951397522208367e-12,0.18028854695995167,5
137,Maja Kocijancic,Cabinet Member,2.0461306071912152e-12,0.1825328296456197,2
138,Szabolcs Horvath,Cabinet Member,1.5633414436535216e-11,0.20734398626833953,19
139,Ildikó Voller-Szenci,Cabinet Member,3.801208424432085e-13,0.18483705849135654,2
140,Justyna Petsch,Cabinet Member,5.558305539006165e-12,0.21545354170205538,7
141,Kim-Tobias Eling,Cabinet Member,2.0051239525320282e-11,0.21397693005208662,30
142,Matjaz Malgaj,Cabinet Member,8.623377248583296e-14,0.20515153353146923,2
143,Adela Kabrtova,Cabinet Member,6.765697308601741e-12,0.22927446505637528,10
144,Roland Sourd,Cabinet Member,1.232986960261728e-12,0.18361622814954218,3
145,Jasna Pajnkihar,Cabinet Member,7.419223454646785e-12,0.2011976285368707,7
146,Tina Strafela,Cabinet Member,2.230333160752773e-13,0.1497866938281446,3
147,Natalie Pauwels,Cabinet Member,3.8305319696807324e-12,0.2240549372902314,10
148,Kasia Jurczak,Cabinet Member,1.2084810009074281e-12,0.2196748284297807,7
149,Aleska Simkic,Cabinet Member,4.288517218779102e-12,0.15598290598290598,4
150,Mateja Munda,Cabinet Member,7.556893648878377e-13,0.19873087996239644,3
151,Barbara Herbolzheimer,Cabinet Member,5.848471235694161e-12,0.22015621609893687,16
152,Christiane Kirketerp De Viron,Cabinet Member,1.3737238326164445e-11,0.22575477784946715,15
153,David Mueller,Cabinet Member,3.4012621336984108e-12,0.22909328998464734,11
154,Hanna Jahns,Cabinet Member,4.964712358005684e-12,0.21466500243288414,11
155,Johannes Noack,Cabinet Member,6.855927929329123e-13,0.2021677193122273,5
156,Kyriacos Charalambous,Cabinet Member,1.5778432289771804e-11,0.23891034093049537,23
157,Maximilian Strotmann,Cabinet Member,4.614818050405728e-12,0.20804116947554024,7
158,Natasa Athanasiadou,Cabinet Member,2.0696294554891418e-13,0.1861151870873074,2
159,Sibylle Bikar,Cabinet Member,6.46641355045899e-12,0.2002486580359962,6
160,Martina Krobath,Cabinet Member,1.4383726260942706e-12,0.20305371007764347,6
161,Katalin Molnar,Cabinet Member,2.7714942414368026e-13,0.19823005391888723,2
162,Andreas Schneider,Cabinet Member,2.4900645313993395e-11,0.22345298392424576,31
163,Roberto Berutti,Cabinet Member,3.548330954088142e-11,0.24382449058054595,36
164,Anna Chuchla,Cabinet Member,0.0,0.20979180019434737,1
165,Simona Pinzariu,Cabinet Member,1.7013606157127189e-12,0.20595100367370964,6
166,Joanna Stawowy,Cabinet Member,4.001011799750237e-11,0.2385901384937337,43
167,Jorge Pinto Antunes,Cabinet Member,1.6776574879400698e-10,0.26229804833914955,135
168,Maciej Golubiewski,Cabinet Member,5.3779187768319025e-11,0.24249014219142073,59
169,Catherine Geslain-Lanéelle,Cabinet Member,4.5138073901933995e-11,0.22108680495032246,60
170,Magdalena Majerczyk,Cabinet Member,1.322841111225363e-11,0.22007981607599877,23
171,Neil Kerr,Cabinet Member,8.226499657922039e-13,0.20787921003032042,4
172,Annelisa Cotone,Cabinet Member,3.2683225799753834e-12,0.20316347982781058,10
173,Joseph Vella,Cabinet Member,1.3915415953695963e-12,0.2080027878564254,6
174,Silvan Agius,Cabinet Member,2.4437915130463256e-11,0.23259065694769174,29
175,Eva Gerhards,Cabinet Member,2.576348981705304e-12,0.22767456471010591,7
176,Lesia Radelicki,Cabinet Member,2.568049986717753e-11,0.24287321381555327,33
177,Nora Bednarski,Cabinet Member,2.007495682901818e-11,0.22821735414511268,25
178,Agnieszka Drzewoska,Cabinet Member,3.647671398939225e-11,0.25592070417917223,60
179,Claude Bocqueraz,Cabinet Member,8.804357093329027e-12,0.22122176680910438,11
180,Paul Moley,Cabinet Member,9.783194445277107e-12,0.22697684822726763,23
181,Nathalie De Basaldua Lemarchand,Cabinet Member,2.3941859003525212e-11,0.24304773767036336,45
182,Deirdre O’Hea,Cabinet Member,2.1642943264530465e-11,0.22970525648571558,32
183,Nicolo Brignoli,Cabinet Member,1.9842324558331032e-11,0.23670889028856695,36
184,Patricia Reilly,Cabinet Member,2.3840218204731717e-11,0.2477294921875,41
185,Peter Power,Cabinet Member,1.643714125927231e-11,0.24579124579124578,39
186,Katherine Power,Cabinet Member,2.2221575427681573e-10,0.27419136920042153,184
187,Darta Tentere,Cabinet Member,1.2052114684780625e-11,0.23572457371184313,23
188,Tommy De Temmerman,Cabinet Member,1.0586244120299731e-10,0.25547610655118586,130
189,Hannah O’Kane,Cabinet Member,2.621117122303709e-12,0.21276551131240695,6
190,Florian Denis,Cabinet Member,2.0048735127893929e-10,0.268027893708067,178
191,Isabelle Perignon,Cabinet Member,5.287042120800419e-11,0.244942789552455,52
192,Geneviève Tuts,Cabinet Member,3.7433719187656884e-11,0.2521056423762081,68
193,Clarisse Albert,Cabinet Member,0.0,0.18842732725483277,1
194,Lucrezia Busa,Cabinet Member,1.298099864458951e-10,0.2663254593175853,139
195,Luc De Lobel,Cabinet Member,6.7500327607395254e-12,0.16045985736198745,9
196,Joachim Herrmann,Cabinet Member,1.581312823243465e-11,0.23504748668056522,23
197,David Marechal,Cabinet Member,0.0,0.14642346931413153,1
198,Ludovic Pierre,Cabinet Member,2.4260284595636935e-14,0.2155817115662446,2
199,Wioletta Dunin-Majewska,Cabinet Member,1.6462848602120836e-11,0.23779058867641545,27
200,Carole Mancel-Blanchard,Cabinet Member,1.8866250518209786e-11,0.2403591055523972,21
201,Hugo Monteiro Brilhante Sobral,Cabinet Member,1.959518711782833e-12,0.22973125948063122,7
202,Simeona Manova,Cabinet Member,1.2739152332826472e-11,0.2194610260403149,15
203,Pedro MOIA,Cabinet Member,2.9401090166274183e-12,0.18524536293267124,5
204,Marlene Madsen,Cabinet Member,7.298173386680265e-12,0.22087505441880714,10
205,Francisco Barros Castro,Cabinet Member,3.9902380637441035e-11,0.24168730945121952,35
206,Mirzha De Manuel,Cabinet Member,1.992827647328346e-11,0.25205554313535533,32
207,Gints Freimanis,Cabinet Member,2.1730802632723604e-11,0.25059270967104613,30
208,Ruth Paserman,Cabinet Member,3.906424297015535e-12,0.22735318500593757,8
209,Elina Melngaile,Cabinet Member,4.73149159534317e-11,0.25749232369883523,49
210,Caroline Boeshertz,Cabinet Member,5.885050596071154e-11,0.2613791504598027,67
211,Sofja Ribkina,Cabinet Member,1.0996876798282879e-11,0.2398307688671441,17
212,Michael Hager,Cabinet Member,7.818191674555486e-11,0.2647757221511886,85
213,Vanessa Mock,Cabinet Member,2.622838954437367e-12,0.23434180138568128,11
214,Jérôme Deslandes,Cabinet Member,1.0677898817718497e-11,0.23492776440081498,25
215,Pim Lescrauwaet,Cabinet Member,2.285734841816967e-12,0.2370905182485163,11
216,Kevin Keary,Cabinet Member,1.790347990132575e-11,0.23663160840465475,24
217,Zaneta Vegnere,Cabinet Member,2.6767180164525137e-11,0.2537765106042417,36
218,Andrea Beltramello,Cabinet Member,2.957104830746469e-10,0.27844245650622906,238
219,Cristina Rueda Catry,Cabinet Member,3.2441687870523976e-11,0.2566976144096739,46
220,Marta Balossino,Cabinet Member,2.464362750551402e-13,0.21801344992802354,5
221,Alina-Stefania Ujupan,Cabinet Member,6.787810805046165e-11,0.26094895203806096,73
222,Anne Funch Jensen,Cabinet Member,2.3090454235104458e-11,0.24733096085409254,45
223,Pierre-Arnaud Proux,Cabinet Member,5.208815067023615e-11,0.25729644749854197,72
224,Iwona Piorko Bermig,Cabinet Member,7.112404316294245e-14,0.21882682769031703,2
225,Liliane Giardino-karlinger,Cabinet Member,1.317748503173544e-13,0.22540373636626163,7
226,Lucia Bonova,Cabinet Member,9.193896250626954e-12,0.23631197745639163,17
227,Simon Genevaz,Cabinet Member,1.156729858398621e-11,0.2359822321449336,15
228,Werner Stengg,Cabinet Member,4.974892633794534e-10,0.28041231415464546,375
229,Linsey Mccallum,Cabinet Member,2.598468205979523e-13,0.21714566971259816,4
230,Louise Groenfeldt,Cabinet Member,6.478545308082598e-14,0.20908285425810308,3
231,Nele Eichhorn,Cabinet Member,1.442240551740497e-11,0.254227945782076,28
232,Michele Piergiovanni,Cabinet Member,4.5503997777189686e-11,0.2620541824849565,67
233,Yizhou Ren,Cabinet Member,4.875844688553085e-12,0.23677517209193794,16
234,Penelope Papandropoulos,Cabinet Member,3.4785807959804626e-11,0.2606740995735498,70
235,Christiane Canenbley,Cabinet Member,3.214437478933216e-11,0.25723774273690614,58
236,Thomas Woolfson,Cabinet Member,1.4030602849137882e-11,0.2282378874443295,27
237,Christina Holm Eiberg,Cabinet Member,3.957844110104888e-12,0.2116780707610147,10
238,Mette Dyrskjot,Cabinet Member,9.807119752858933e-12,0.24564249055872955,24
239,Liviu Stirbat,Cabinet Member,2.5394711071550297e-14,0.20213147410358565,2
240,Stina Soewarta,Cabinet Member,2.463963789732775e-11,0.24973542369127022,48
241,Alejandro Cainzos,Cabinet Member,7.538878599897717e-11,0.25997950294645145,86
242,Kim Jorgensen,Cabinet Member,4.0649753677863354e-11,0.2546873823448207,64
243,Gaelle Garnier,Cabinet Member,1.264886100639395e-11,0.2550971667043769,28
244,Valere Moutarlier,Cabinet Member,2.1498022004948652e-11,0.25435540069686413,45
245,Eszter Batta,Cabinet Member,3.530668654163916e-11,0.2620338807974383,47
246,Agnieszka Skonieczna,Cabinet Member,1.415225806458285e-10,0.27239537193632385,128
247,Lucia Caudet,Cabinet Member,2.2698780715252193e-11,0.25451489916725195,42
248,Eleonora Ocello,Cabinet Member,2.2643433006361077e-11,0.2448245910341167,39
249,Maurits-Jan Prinz,Cabinet Member,8.3842777648533e-11,0.25810143969069543,86
250,Elina Laurinen,Cabinet Member,1.8396089977365963e-12,0.24029080231126268,7
251,Joan Canton,Cabinet Member,2.1794890216680478e-10,0.2798940777314981,203
252,Pauline Weinzierl,Cabinet Member,9.52954361369483e-12,0.2461728814381717,24
253,Terence Zakka,Cabinet Member,3.364765407524875e-12,0.23198975742472394,13
254,Filomena Chirico,Cabinet Member,1.5290090391571207e-10,0.26824045680448344,161
255,Fabrice Comptour,Cabinet Member,7.250113370933767e-11,0.2574400608905239,100
256,Barbara Gallo,Cabinet Member,1.827696068939929e-13,0.20044248661675523,2
257,Fiona Knab-Lunny,Cabinet Member,3.90607894577371e-13,0.2006406580586479,5
258,Rafael Tristan Daerr,Cabinet Member,4.022074004360908e-14,0.18647089091443694,2
259,Baiba Aleksejuka-Tavaresa,Cabinet Member,4.445704391039019e-12,0.17512944425267518,5
260,Pelayo Castro,Cabinet Member,1.0793959819018335e-13,0.21860996208204067,4
261,Maud Arnould,Cabinet Member,1.3850170733943944e-13,0.17803003719559268,2
262,Nereo Penalver Garcia,Cabinet Member,3.732729703350645e-12,0.21892597467043518,5
263,Philip Holzapfel,Cabinet Member,0.0,0.18313239965347963,1
264,Anne Bergenfelt,Cabinet Member,2.5533406556202266e-12,0.19908570083189453,4
265,Camilo Villarino,Cabinet Member,6.7033045687001365e-12,0.2274551119679003,6
266,Mathieu Briens,Cabinet Member,6.382016850602625e-12,0.1797265223706118,6
267,Anna Gallo Alvarez,Cabinet Member,6.544369556184912e-14,0.1935748488143612,2
268,Maria Inmaculada Lopez Martinez,Cabinet Member,1.1414646797266606e-12,0.22294728978533607,6
269,Leila Fernandez-Stembridge,Cabinet Member,1.4350975580045394e-12,0.19692970539145285,5
270,Pedro Serrano De Haro,Cabinet Member,2.4342684113969455e-12,0.20145727445997458,5
271,Eduard Hulicius,Cabinet Member,1.0575693984216358e-11,0.23719027582982702,17
272,Kevin O'Connell,Cabinet Member,1.710013405804238e-12,0.22830978309783098,6
273,Irina Stefuriuc,Cabinet Member,7.159990704466838e-13,0.17206470867530355,3
274,Wojtek Talko,Cabinet Member,2.3370909291452834e-11,0.24728274114149243,52
275,Renate Nikolay,Cabinet Member,5.982383473648002e-11,0.2555855016246442,63
276,Monika Ladmanova,Cabinet Member,1.831332039307791e-11,0.24031356574460022,37
277,Daniel Braun,Cabinet Member,7.959947415572798e-11,0.25148706255576486,99
278,Marie Frenay,Cabinet Member,6.638761579491805e-11,0.23949113738818475,87
279,Alvaro De Elera,Cabinet Member,2.4019114821110778e-11,0.22863387485635744,33
280,Simona Constantin,Cabinet Member,2.8103808161311108e-11,0.2511322856082168,40
281,Zuzana Dorazilova,Cabinet Member,3.5680930335125583e-13,0.2142344396588126,3
282,Jose Antonio Vieira Da Silva,Cabinet Member,9.587610717213898e-16,0.21515659125124573,2
283,Nicolas Hazard,Cabinet Member,3.0058434823287678e-12,0.20302933290647884,4
284,Eugenia Dumitriu-Segnana,Cabinet Member,6.767435687404123e-12,0.2375790213064856,17
285,Anouk Faber,Cabinet Member,2.643207521569889e-10,0.27704363020804895,281
286,Antoine Kasel,Cabinet Member,4.1413254979794744e-11,0.25823938106023975,102
287,Andrea Nahles,Cabinet Member,2.857675038423418e-12,0.24454137947655083,11
288,Santina Bertulessi,Cabinet Member,4.163693145824995e-11,0.2522184385175611,81
289,Christoph Nerlich,Cabinet Member,1.0095800466552206e-10,0.2697307211781281,163
290,Ivana McDowell,Cabinet Member,2.470813770420326e-12,0.22650059153106097,9
291,Ana Carla  Pereira,Cabinet Member,7.186211850657061e-11,0.25456598093326643,122
292,Fabien Dell,Cabinet Member,4.010437844439714e-12,0.2488534641324341,27
293,Giulio Di Blasi,Cabinet Member,7.0595429619450056e-12,0.23006983493560676,15
294,Alice Brokelind,Cabinet Member,2.0461306071912157e-12,0.18509330366100582,2
295,Morella Siemers,Cabinet Member,2.3441931620809e-13,0.2086958310195183,5
296,Tom Snels,Cabinet Member,3.065821723519847e-12,0.22079815475672382,12
297,Brian Synnott,Cabinet Member,1.5480984247584735e-11,0.23200036582298741,28
298,Raul Hernandez Sagrera,Cabinet Member,2.7822084230268993e-11,0.23956464255359336,34
299,Gosia Pearson,Cabinet Member,5.489459582748832e-13,0.2048864209994952,7
300,Monika Maglione,Cabinet Member,3.226501818002526e-11,0.24395932007789772,43
301,Asa Webber,Cabinet Member,1.541589772390023e-11,0.23976843100189035,24
302,Alexandra Cupsan-Catalin,Cabinet Member,1.5715279289529736e-11,0.24359035913193777,25
303,Diana Montero Melis,Cabinet Member,3.275473885751484e-11,0.2441236617346325,41
304,Arto Virtanen,Cabinet Member,5.262298828873202e-11,0.23270267171195963,47
305,Lora Borissova,Cabinet Member,1.0200573685623602e-11,0.221332751663213,18
306,Olai Voionmaa,Cabinet Member,1.2486217502696143e-11,0.22034744842562431,22
307,Sandra Bartelt,Cabinet Member,4.152641451285115e-11,0.24364884982951543,47
308,Kaisa Soro-Pesonen,Cabinet Member,4.2575163639311934e-12,0.18340382460326068,4
309,Tuure Taneli Lahti,Cabinet Member,4.023491196801757e-11,0.24506110225571173,42
310,Renaud Savignat,Cabinet Member,8.158608917885366e-11,0.24380105718404613,80
311,Suvi Leinonen,Cabinet Member,2.7490070437649376e-11,0.2434851466141959,31
312,Julia Lemke,Cabinet Member,2.718897868581753e-12,0.2009227357332383,9
313,Roberta Torre,Cabinet Member,4.1577530235230076e-13,0.18338725126963185,4
314,Alienor Margerit,Cabinet Member,4.089140154998136e-11,0.24740332569366558,54
315,Jakob Wegener Friis,Cabinet Member,4.4171210223525065e-12,0.2041280251061176,7
316,Marco Piantini,Cabinet Member,9.001999981602381e-12,0.2296168903170329,16
317,Estelle Göger,Cabinet Member,1.1557022155441535e-11,0.23266532147115473,20
318,Maria Elena Scoppio,Cabinet Member,2.3170203698713948e-11,0.2434676200302325,30
319,Sophie Dewispelaere,Cabinet Member,0.0,0.18030136110025233,1
320,Marco Buti,Cabinet Member,2.046130607191216e-12,0.16574919551119752,2
321,Angela D'Elia,Cabinet Member,0.0,0.15940867816633675,1
322,Syngenta Crop Protection AG,Organizaion,1.076472106086563e-12,0.22053422007780749,6
323,trivago N.V.,Organizaion,4.722605109850274e-13,0.2464778468713564,5
324,Academy of European Law,Organizaion,3.058796156170956e-13,0.19571423060602552,4
325,Prime Collateralised Securities (PCS) Europe asbl,Organizaion,0.0,0.20080742514496053,1
326,Self-Care in Europe,Organizaion,3.5209047344014333e-15,0.20138530544198785,2
327,Sympatex Technologies,Organizaion,1.9680589921061238e-14,0.22630862903405669,4
328,Organic Processing and Trade Association Europe e.V.,Organizaion,0.0,0.1864023807774267,1
329,clickworker GmbH,Organizaion,2.226605851605391e-15,0.21068477222706697,2
