Name,Type,TR Country,Category of registration,Level of interest,Fields of interest,Lobbying cost,Members FTE,Orbis Country,Country ISO,City,BvD ID,BvD sectors,NAICS,Last year,Revenue,Shareholders funds,Assets,Nb employees,corporate group size,Entity type,GUO Name,GUO Country ISO,GUO Type,GUO NAICS,GUO Revenue,GUO Assets,GUO Nb employees,Betweenness,Closeness,Degree,Strength
Thomas Woolfson,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88416778340512E-12,0.224116528957679,30,32
Stéphanie Riso,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48536211928302E-13,0.205832056717375,5,5
Wolfgang Burtscher ,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20231192952553E-11,0.234981901004596,41,54
Deirdre O’Hea,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43707006110878E-11,0.225511817170515,33,37
Panayiotis Pourgourides,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0306782026572E-12,0.208479927830401,22,23
Johannes Hahn,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16338918363323E-11,0.244627924208743,63,85
Joseph Vella,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52679194969343E-13,0.202449365757937,6,6
Mariana Kotzeva,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.209686785468007,1,1
Damyana Stoynova,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83773448248471E-11,0.255879356924576,44,47
Irina Stefuriuc,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61398740185385E-13,0.169058801152906,3,3
Lesia Radelicki,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6987328969142E-11,0.235058383172627,33,47
Karolina RUDZINSKA,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.143949869815998,1,1
Magdalena Kopczynska,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96774915937219E-13,0.213953746736534,6,12
Stina Soewarta,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83297264046429E-11,0.247007268063275,51,51
Maria Elena Scoppio,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52683807859898E-11,0.237234894368366,30,35
Karolina Herbout-Borczak,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55927959366904E-11,0.242080784379452,57,61
Helena Dalli,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70603483873521E-11,0.239760136116529,47,65
Tove Ernst,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47480714917288E-13,0.190227680555784,6,7
Florika Fink-Hooijer,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95542227086257E-11,0.249594988659682,61,74
Caroline Boeshertz,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91124843682579E-11,0.256327780119346,68,70
Justyna Petsch,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38048870531713E-12,0.212139014852485,8,9
Terence Zakka,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88700532702745E-12,0.215678954736351,13,13
Marius  Vaščega,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52991493183781E-11,0.249148303074734,49,50
Anouk Faber,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80619706753407E-10,0.272170533506065,290,318
Fernando Sampedro Marcos,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23073050413816E-13,0.237889362402981,6,6
Vasco Ferreira,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4950994771528E-13,0.194751567450954,3,3
Alvaro De Elera,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59882484646133E-11,0.223561506017103,33,38
Daniel Calleja Crespo,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07826589217811E-11,0.246139098945575,58,61
Pia Ahrenkilde Hansen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34930576213718E-11,0.213807268151876,17,23
Eva Gerhards,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45112920722079E-12,0.210197918940551,7,7
Estelle Göger,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.30159174865618E-12,0.227855339958984,19,22
Fabien Dell,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88441019162961E-12,0.244167864085876,28,29
Julia Lemke,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81695675597117E-12,0.197649755396668,9,12
Janusz Wojciechowski,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62140560755585E-11,0.244767835960007,103,139
Nele Eichhorn,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27999613975002E-12,0.247876265659859,28,28
Elena Montani,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87029922155414E-11,0.247940090979315,58,74
Katalin Molnar,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72366320588846E-13,0.193053095866609,2,2
Monika Ladmanova,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06760728555877E-11,0.227496456134824,36,39
Werner Stengg,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41538485336152E-10,0.272697236447738,392,498
Sofja Ribkina,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.90504028278142E-12,0.236168168904695,17,17
Annelisa Cotone,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22811448443089E-12,0.198894932525475,10,10
Salla Saastamoinen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20815965908764E-12,0.215060767927935,9,11
Stefano Grassi,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17667637681127E-11,0.261934986625561,162,175
Walter Goetz,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97057693146843E-11,0.244856010680002,111,126
Pierre Delsaux,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7468185323796E-12,0.217440394422386,16,17
Mathieu Briens,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32284776065602E-12,0.179978816859288,7,7
Pierre-Arnaud Proux,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70339218127039E-11,0.253944881543668,77,79
Iris Abraham,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54720339782913E-12,0.216211664764328,25,32
Alejandro Cainzos,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69889307806092E-11,0.253671708634278,86,97
Katherine Power,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6432067438529E-10,0.268496142764197,201,243
Margrethe Vestager,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56481876822542E-11,0.258639985674635,115,147
Andrea Vettori,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02611623159096E-12,0.227143166047453,19,19
Laure Chapuis-Kombos,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70401102179025E-11,0.254252205866174,86,88
Monika Maglione,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86783125601308E-11,0.227152096561757,43,47
Zuzana Dorazilova,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54852687066882E-12,0.188548397624176,5,5
Martina Krobath,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8914923469116E-12,0.219368189239473,8,10
Mette Dyrskjot,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21649957070231E-12,0.23218663344452,25,25
Brian Synnott,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03273764944953E-11,0.225322725322725,29,31
David Marechal,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.145905675863375,1,1
Ursula von der Leyen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26335354686452E-11,0.245746490854955,45,80
Anthony Agotha,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72934436142764E-11,0.258616830796777,61,69
Dimitri Lorenzani,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41385730493022E-11,0.237025641025641,46,57
Marie Frenay,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42872910771244E-11,0.233377767005978,89,142
Helena Braun,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50726174253182E-10,0.273627128276777,265,316
